freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.032e+01,6.059e+00,6.590e+00,6.296e+01
1.5,3.944e+01,1.273e+01,1.528e+01,6.745e+01
3.1,2.576e+01,1.180e+01,1.441e+01,5.197e+01
4.6,3.266e+02,1.184e+01,1.725e+01,3.557e+02
6.2,1.167e+03,1.039e+01,2.161e+01,1.199e+03
7.7,1.905e+03,1.136e+01,2.735e+01,1.944e+03
9.3,2.878e+03,1.173e+01,5.245e+01,2.942e+03
10.8,3.651e+03,1.304e+01,1.305e+02,3.794e+03
12.4,3.584e+03,1.627e+01,9.446e+01,3.695e+03
13.9,4.270e+03,1.505e+01,7.388e+01,4.359e+03
15.4,5.555e+03,1.711e+01,6.556e+01,5.638e+03
17.0,7.079e+03,3.644e+01,9.055e+01,7.206e+03
18.5,7.772e+03,1.239e+02,1.601e+02,8.056e+03
20.1,8.028e+03,1.677e+02,2.552e+02,8.451e+03
21.6,9.997e+03,2.230e+02,3.748e+02,1.060e+04
23.2,1.351e+04,4.736e+02,7.126e+02,1.469e+04
24.7,1.834e+04,1.168e+03,1.942e+03,2.145e+04
26.3,1.732e+04,1.055e+03,3.738e+03,2.211e+04
27.8,9.522e+03,4.068e+02,2.730e+03,1.266e+04
29.3,6.582e+03,1.730e+02,1.315e+03,8.070e+03
30.9,7.210e+03,1.067e+02,1.095e+03,8.412e+03
32.4,7.440e+03,9.988e+01,1.917e+03,9.456e+03
34.0,4.315e+03,1.449e+02,2.408e+03,6.868e+03
35.5,1.953e+03,2.649e+02,1.610e+03,3.828e+03
37.1,2.036e+03,6.165e+02,9.888e+02,3.642e+03
38.6,2.696e+03,1.024e+03,6.567e+02,4.376e+03
40.2,3.052e+03,1.163e+03,5.247e+02,4.739e+03
41.7,3.300e+03,1.066e+03,4.648e+02,4.830e+03
43.2,3.646e+03,9.938e+02,4.128e+02,5.052e+03
44.8,3.990e+03,1.099e+03,3.783e+02,5.467e+03
46.3,4.266e+03,1.974e+03,3.812e+02,6.622e+03
47.9,4.019e+03,3.773e+03,4.049e+02,8.197e+03
49.4,3.259e+03,4.382e+03,3.934e+02,8.034e+03
51.0,3.124e+03,3.528e+03,4.042e+02,7.057e+03
52.5,3.753e+03,2.508e+03,4.373e+02,6.698e+03
