freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.981e+01,1.356e+02,5.798e+01,2.133e+02
1.5,2.064e+01,8.218e+01,4.485e+01,1.477e+02
3.1,1.066e+01,2.146e+01,1.597e+01,4.808e+01
4.6,1.006e+01,3.356e+02,1.688e+01,3.626e+02
6.2,9.950e+00,1.280e+03,1.731e+01,1.307e+03
7.7,1.146e+01,2.328e+03,1.750e+01,2.357e+03
9.3,7.011e+01,4.001e+03,1.652e+01,4.087e+03
10.8,5.089e+02,5.765e+03,1.788e+01,6.292e+03
12.3,5.263e+02,6.240e+03,2.075e+01,6.787e+03
13.9,1.371e+02,6.109e+03,2.210e+01,6.268e+03
15.4,4.279e+01,7.577e+03,2.503e+01,7.645e+03
17.0,3.511e+01,9.277e+03,4.532e+01,9.357e+03
18.5,2.694e+01,1.199e+04,1.768e+02,1.219e+04
20.0,1.983e+01,1.572e+04,3.202e+02,1.606e+04
21.6,2.763e+01,2.082e+04,6.296e+02,2.148e+04
23.1,5.971e+01,2.851e+04,1.816e+03,3.038e+04
24.7,1.757e+02,3.407e+04,4.483e+03,3.873e+04
26.2,2.567e+02,2.616e+04,4.104e+03,3.052e+04
27.8,1.367e+02,2.493e+04,1.361e+03,2.643e+04
29.3,8.189e+01,3.766e+04,2.993e+02,3.805e+04
30.8,1.978e+02,6.384e+04,9.278e+02,6.497e+04
32.4,6.850e+02,1.151e+05,6.512e+03,1.223e+05
33.9,2.564e+03,1.659e+05,1.558e+04,1.841e+05
35.5,5.851e+03,1.702e+05,2.202e+04,1.981e+05
37.0,9.110e+03,1.478e+05,3.129e+04,1.882e+05
38.5,1.321e+04,1.385e+05,4.614e+04,1.978e+05
40.1,1.648e+04,1.142e+05,5.286e+04,1.835e+05
41.6,1.663e+04,6.643e+04,4.539e+04,1.285e+05
43.2,1.642e+04,3.093e+04,4.022e+04,8.756e+04
44.7,1.596e+04,2.565e+04,4.068e+04,8.229e+04
46.3,1.582e+04,3.302e+04,4.199e+04,9.083e+04
47.8,1.623e+04,2.352e+04,4.025e+04,8.000e+04
49.3,2.107e+04,1.469e+04,4.888e+04,8.465e+04
50.9,2.517e+04,1.419e+04,5.817e+04,9.753e+04
52.4,2.445e+04,1.761e+04,6.997e+04,1.120e+05
54.0,8.531e+03,1.810e+04,9.963e+04,1.263e+05
