freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.444e+01,8.969e+01,3.543e+01,1.496e+02
1.6,2.256e+01,5.775e+01,3.297e+01,1.133e+02
3.1,1.060e+01,2.068e+01,1.774e+01,4.902e+01
4.7,1.029e+01,3.396e+02,1.984e+01,3.697e+02
6.2,1.003e+01,1.249e+03,2.166e+01,1.280e+03
7.8,1.068e+01,2.224e+03,2.273e+01,2.258e+03
9.3,4.414e+01,3.743e+03,2.470e+01,3.812e+03
10.9,2.045e+02,6.346e+03,2.711e+01,6.577e+03
12.4,1.589e+02,6.206e+03,4.011e+01,6.405e+03
14.0,3.628e+01,3.735e+03,1.019e+02,3.874e+03
15.5,1.312e+01,5.240e+03,3.054e+02,5.558e+03
17.1,1.216e+01,6.516e+03,3.686e+02,6.897e+03
18.6,1.366e+01,7.764e+03,1.985e+02,7.977e+03
20.2,1.633e+01,9.532e+03,1.355e+02,9.684e+03
21.7,2.108e+01,1.150e+04,1.365e+02,1.166e+04
23.3,2.204e+01,1.353e+04,1.234e+02,1.368e+04
24.8,2.011e+01,1.592e+04,1.667e+02,1.611e+04
26.4,2.370e+01,1.901e+04,1.793e+02,1.921e+04
27.9,2.766e+01,2.442e+04,3.836e+02,2.483e+04
29.5,4.421e+01,3.240e+04,1.801e+03,3.424e+04
31.0,2.907e+02,3.512e+04,3.860e+03,3.927e+04
32.6,1.046e+03,3.755e+04,4.027e+03,4.262e+04
34.1,2.024e+03,4.932e+04,4.965e+03,5.631e+04
35.7,4.198e+03,6.638e+04,8.937e+03,7.951e+04
37.2,9.082e+03,7.594e+04,1.596e+04,1.010e+05
38.8,1.219e+04,4.953e+04,1.843e+04,8.016e+04
40.3,1.042e+04,2.463e+04,1.477e+04,4.982e+04
41.9,6.870e+03,2.499e+04,1.767e+04,4.953e+04
43.4,7.098e+03,2.378e+04,3.081e+04,6.168e+04
45.0,9.248e+03,2.987e+04,3.374e+04,7.286e+04
46.5,1.468e+04,6.599e+04,3.460e+04,1.153e+05
48.1,1.925e+04,1.004e+05,3.322e+04,1.529e+05
49.6,1.734e+04,9.453e+04,2.750e+04,1.394e+05
51.2,1.209e+04,5.624e+04,2.203e+04,9.037e+04
52.7,9.442e+03,2.682e+04,1.912e+04,5.539e+04
54.3,1.040e+04,1.630e+04,2.020e+04,4.689e+04
55.8,1.363e+04,1.454e+04,2.340e+04,5.157e+04
57.4,1.656e+04,1.758e+04,2.735e+04,6.149e+04
58.9,1.835e+04,1.802e+04,3.038e+04,6.674e+04
60.5,2.434e+04,1.835e+04,3.325e+04,7.595e+04
62.0,2.828e+04,2.591e+04,2.973e+04,8.392e+04
63.6,3.258e+04,3.467e+04,2.966e+04,9.691e+04
65.1,3.494e+04,4.015e+04,3.402e+04,1.091e+05
66.7,3.335e+04,3.901e+04,4.168e+04,1.140e+05
68.2,2.874e+04,3.392e+04,4.359e+04,1.062e+05
69.8,2.712e+04,2.994e+04,4.730e+04,1.044e+05
71.3,2.960e+04,3.174e+04,4.385e+04,1.052e+05
72.9,2.929e+04,3.016e+04,4.541e+04,1.049e+05
74.4,3.308e+04,3.161e+04,5.172e+04,1.164e+05
76.0,4.231e+04,3.697e+04,5.445e+04,1.337e+05
77.5,5.224e+04,4.034e+04,5.537e+04,1.480e+05
79.1,5.509e+04,3.734e+04,4.218e+04,1.346e+05
80.6,5.200e+04,2.842e+04,3.108e+04,1.115e+05
82.2,4.430e+04,1.762e+04,2.249e+04,8.441e+04
83.7,4.068e+04,1.236e+04,1.783e+04,7.087e+04
85.3,3.617e+04,8.948e+03,1.578e+04,6.089e+04
86.8,3.428e+04,6.848e+03,1.488e+04,5.600e+04
88.4,3.498e+04,5.616e+03,1.360e+04,5.420e+04
89.9,3.632e+04,5.032e+03,1.364e+04,5.499e+04
91.5,3.578e+04,5.286e+03,3.029e+04,7.136e+04
93.0,3.769e+04,5.637e+03,6.715e+04,1.105e+05
94.6,4.182e+04,5.623e+03,7.154e+04,1.190e+05
96.1,4.150e+04,5.500e+03,5.849e+04,1.055e+05
97.7,4.319e+04,5.307e+03,7.305e+04,1.215e+05
99.2,4.598e+04,5.378e+03,9.373e+04,1.451e+05
100.8,4.469e+04,5.463e+03,1.031e+05,1.533e+05
102.3,3.694e+04,5.111e+03,9.642e+04,1.385e+05
103.9,2.944e+04,4.589e+03,8.657e+04,1.206e+05
105.4,2.322e+04,3.588e+03,7.998e+04,1.068e+05
107.0,1.992e+04,2.847e+03,7.337e+04,9.614e+04
108.5,1.836e+04,2.496e+03,6.292e+04,8.378e+04
110.1,1.702e+04,2.267e+03,5.287e+04,7.215e+04
111.6,1.573e+04,2.085e+03,4.635e+04,6.416e+04
113.2,1.434e+04,1.914e+03,4.181e+04,5.806e+04
114.7,1.289e+04,1.761e+03,3.771e+04,5.236e+04
116.3,1.155e+04,1.659e+03,3.478e+04,4.799e+04
117.8,1.017e+04,1.544e+03,3.261e+04,4.432e+04
119.4,8.939e+03,1.403e+03,3.013e+04,4.047e+04
120.9,7.819e+03,1.311e+03,2.700e+04,3.613e+04
122.5,6.859e+03,1.175e+03,2.397e+04,3.201e+04
124.0,6.070e+03,1.096e+03,2.046e+04,2.763e+04
125.6,5.270e+03,1.069e+03,1.711e+04,2.345e+04
127.1,4.471e+03,1.012e+03,1.614e+04,2.162e+04
128.7,3.866e+03,9.041e+02,1.358e+04,1.835e+04
130.2,3.697e+03,9.113e+02,8.833e+03,1.344e+04
131.8,3.115e+03,9.112e+02,5.346e+03,9.372e+03
133.3,9.985e+02,4.480e+02,2.162e+03,3.608e+03
134.9,1.491e+02,2.661e+02,9.735e+02,1.389e+03
136.4,1.450e+02,2.984e+02,9.052e+02,1.349e+03
138.0,1.796e+02,3.245e+02,8.772e+02,1.381e+03
139.5,2.423e+02,3.534e+02,1.308e+03,1.903e+03
141.1,2.850e+02,3.876e+02,1.862e+03,2.534e+03
