freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.539e+01,1.145e+02,9.681e+01,2.467e+02
1.6,3.287e+01,7.178e+01,6.733e+01,1.720e+02
3.1,1.532e+01,2.281e+01,1.663e+01,5.477e+01
4.7,1.567e+01,3.446e+02,1.731e+01,3.776e+02
6.2,1.926e+01,1.296e+03,1.798e+01,1.334e+03
7.8,4.971e+01,2.537e+03,2.127e+01,2.608e+03
9.3,3.048e+02,4.148e+03,3.121e+01,4.484e+03
10.9,3.575e+02,4.976e+03,3.917e+01,5.372e+03
12.4,1.901e+02,4.827e+03,5.120e+01,5.069e+03
14.0,1.778e+02,5.101e+03,1.225e+02,5.401e+03
15.5,1.128e+02,7.280e+03,3.113e+02,7.704e+03
17.1,1.435e+02,9.016e+03,5.175e+02,9.677e+03
18.6,1.663e+02,9.808e+03,4.795e+02,1.045e+04
20.2,1.887e+02,1.257e+04,9.761e+02,1.373e+04
21.7,9.592e+01,1.602e+04,2.340e+03,1.846e+04
23.3,1.303e+02,1.947e+04,4.143e+03,2.374e+04
24.8,2.655e+02,2.014e+04,4.423e+03,2.483e+04
26.4,1.112e+03,2.325e+04,3.829e+03,2.819e+04
27.9,3.065e+03,3.793e+04,7.126e+03,4.812e+04
29.5,5.455e+03,5.737e+04,1.445e+04,7.728e+04
31.0,9.024e+03,5.668e+04,1.636e+04,8.207e+04
32.6,8.561e+03,5.841e+04,1.696e+04,8.393e+04
34.1,4.921e+03,7.674e+04,1.928e+04,1.009e+05
35.7,4.560e+03,1.245e+05,2.971e+04,1.588e+05
37.2,9.951e+03,1.887e+05,5.581e+04,2.544e+05
38.8,1.476e+04,2.217e+05,8.678e+04,3.233e+05
40.3,1.843e+04,1.386e+05,8.798e+04,2.450e+05
41.9,5.729e+04,5.305e+04,7.919e+04,1.895e+05
43.4,8.176e+04,2.020e+04,6.948e+04,1.714e+05
45.0,7.839e+04,1.117e+04,6.108e+04,1.506e+05
46.5,7.902e+04,1.442e+04,6.253e+04,1.560e+05
48.1,8.450e+04,2.260e+04,6.536e+04,1.725e+05
49.6,6.218e+04,2.409e+04,7.766e+04,1.639e+05
51.2,1.627e+04,1.528e+04,1.093e+05,1.408e+05
52.7,9.788e+03,1.320e+04,1.377e+05,1.606e+05
54.3,1.759e+04,1.443e+04,1.707e+05,2.027e+05
55.8,2.843e+04,1.550e+04,2.014e+05,2.453e+05
57.4,4.260e+04,1.828e+04,1.948e+05,2.557e+05
58.9,5.816e+04,2.162e+04,1.639e+05,2.437e+05
60.5,5.992e+04,2.036e+04,1.299e+05,2.102e+05
62.0,2.855e+04,1.083e+04,7.054e+04,1.099e+05
63.6,9.362e+03,6.639e+03,5.559e+04,7.159e+04
