freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.598e+01,3.882e+01,1.314e+01,1.179e+02
1.5,4.424e+01,3.075e+01,1.926e+01,9.425e+01
3.1,1.924e+01,1.397e+01,1.761e+01,5.082e+01
4.6,2.946e+02,1.008e+02,1.732e+01,4.128e+02
6.2,1.161e+03,3.479e+02,1.884e+01,1.528e+03
7.7,1.472e+03,4.721e+02,2.037e+01,1.965e+03
9.3,1.656e+03,6.059e+02,1.804e+01,2.280e+03
10.8,2.563e+03,8.798e+02,1.787e+01,3.460e+03
12.4,3.646e+03,1.241e+03,3.259e+01,4.920e+03
13.9,4.630e+03,1.821e+03,4.375e+01,6.495e+03
15.5,5.900e+03,2.317e+03,3.364e+01,8.250e+03
17.0,6.397e+03,2.033e+03,8.419e+01,8.514e+03
18.6,8.301e+03,1.837e+03,1.648e+02,1.030e+04
20.1,1.141e+04,2.299e+03,2.971e+02,1.401e+04
21.7,1.514e+04,2.208e+03,6.350e+02,1.798e+04
23.2,2.043e+04,1.492e+03,7.107e+02,2.263e+04
24.8,3.895e+04,1.811e+03,7.395e+02,4.150e+04
26.3,5.291e+04,5.717e+03,1.031e+03,5.966e+04
27.9,2.052e+04,8.976e+03,6.797e+02,3.017e+04
29.4,6.631e+03,7.862e+03,2.815e+02,1.477e+04
31.0,1.195e+04,7.475e+03,5.008e+02,1.993e+04
32.5,1.351e+04,1.105e+04,2.632e+03,2.720e+04
34.1,5.870e+03,1.686e+04,6.729e+03,2.946e+04
35.6,1.828e+03,1.815e+04,9.010e+03,2.898e+04
37.2,1.738e+03,1.518e+04,9.665e+03,2.658e+04
38.7,3.243e+03,9.899e+03,8.628e+03,2.177e+04
40.2,5.020e+03,6.690e+03,6.427e+03,1.814e+04
41.8,6.296e+03,8.683e+03,1.158e+04,2.656e+04
43.3,5.687e+03,8.727e+03,2.079e+04,3.521e+04
44.9,3.971e+03,4.615e+03,2.122e+04,2.981e+04
46.4,3.716e+03,2.237e+03,1.583e+04,2.178e+04
48.0,4.614e+03,2.364e+03,1.101e+04,1.798e+04
49.5,5.769e+03,3.835e+03,7.547e+03,1.715e+04
51.1,7.404e+03,6.116e+03,6.138e+03,1.966e+04
52.6,9.373e+03,7.700e+03,5.977e+03,2.305e+04
54.2,1.127e+04,8.006e+03,5.769e+03,2.504e+04
55.7,1.358e+04,8.327e+03,5.784e+03,2.769e+04
57.3,1.753e+04,1.016e+04,6.201e+03,3.389e+04
58.8,2.574e+04,1.546e+04,7.555e+03,4.876e+04
60.4,3.766e+04,2.363e+04,9.493e+03,7.078e+04
61.9,4.047e+04,2.569e+04,9.518e+03,7.567e+04
63.5,5.522e+04,3.561e+04,1.135e+04,1.022e+05
65.0,8.207e+04,4.978e+04,1.667e+04,1.485e+05
66.6,1.090e+05,6.192e+04,2.053e+04,1.915e+05
68.1,1.157e+05,7.239e+04,1.802e+04,2.061e+05
69.7,1.185e+05,9.203e+04,1.493e+04,2.255e+05
71.2,1.310e+05,1.216e+05,1.283e+04,2.654e+05
72.8,1.368e+05,1.390e+05,1.033e+04,2.861e+05
74.3,1.303e+05,1.367e+05,7.726e+03,2.748e+05
75.9,1.186e+05,1.273e+05,5.330e+03,2.512e+05
77.4,9.834e+04,1.081e+05,3.157e+03,2.096e+05
78.9,7.309e+04,8.194e+04,1.661e+03,1.567e+05
80.5,5.052e+04,5.872e+04,9.336e+02,1.102e+05
82.0,3.257e+04,3.808e+04,5.175e+02,7.117e+04
83.6,2.212e+04,2.605e+04,3.135e+02,4.848e+04
85.1,1.545e+04,1.861e+04,1.841e+02,3.425e+04
86.7,1.050e+04,1.330e+04,1.270e+02,2.393e+04
88.2,8.230e+03,1.112e+04,1.294e+02,1.948e+04
89.8,6.603e+03,9.707e+03,1.701e+02,1.648e+04
91.3,5.707e+03,9.346e+03,2.738e+02,1.533e+04
92.9,5.681e+03,1.006e+04,6.835e+02,1.643e+04
94.4,7.001e+03,1.196e+04,2.135e+03,2.110e+04
96.0,4.628e+03,1.074e+04,2.145e+03,1.751e+04
97.5,2.975e+03,9.584e+03,2.611e+03,1.517e+04
99.1,2.312e+03,9.451e+03,3.807e+03,1.557e+04
100.6,1.849e+03,9.264e+03,5.271e+03,1.638e+04
102.2,1.707e+03,9.288e+03,7.404e+03,1.840e+04
103.7,2.002e+03,9.686e+03,1.137e+04,2.306e+04
105.3,3.006e+03,9.663e+03,1.719e+04,2.986e+04
106.8,5.306e+03,9.174e+03,2.389e+04,3.837e+04
108.4,8.465e+03,8.442e+03,2.873e+04,4.564e+04
109.9,1.068e+04,6.485e+03,2.858e+04,4.575e+04
111.5,1.129e+04,4.387e+03,2.516e+04,4.084e+04
113.0,1.117e+04,3.052e+03,2.160e+04,3.583e+04
114.6,1.095e+04,2.376e+03,1.885e+04,3.218e+04
116.1,1.079e+04,2.160e+03,1.679e+04,2.974e+04
117.6,1.039e+04,2.245e+03,1.477e+04,2.740e+04
119.2,9.840e+03,2.817e+03,1.280e+04,2.545e+04
120.7,9.293e+03,4.101e+03,1.119e+04,2.458e+04
122.3,8.372e+03,5.605e+03,9.849e+03,2.383e+04
123.8,6.563e+03,5.666e+03,7.804e+03,2.003e+04
125.4,4.274e+03,4.488e+03,4.956e+03,1.372e+04
126.9,2.301e+03,3.916e+03,2.504e+03,8.721e+03
128.5,1.271e+03,4.083e+03,1.234e+03,6.588e+03
130.0,8.460e+02,3.686e+03,9.490e+02,5.481e+03
131.6,5.618e+02,2.870e+03,9.906e+02,4.422e+03
133.1,2.952e+02,1.995e+03,1.042e+03,3.333e+03
134.7,2.005e+02,1.480e+03,1.372e+03,3.052e+03
136.2,1.632e+02,1.398e+03,1.946e+03,3.507e+03
137.8,1.467e+02,1.288e+03,2.326e+03,3.761e+03
139.3,1.597e+02,1.296e+03,2.741e+03,4.196e+03
140.9,1.691e+02,1.488e+03,3.472e+03,5.129e+03
142.4,1.802e+02,1.922e+03,4.829e+03,6.931e+03
144.0,2.055e+02,2.331e+03,6.260e+03,8.796e+03
145.5,2.898e+02,2.704e+03,7.355e+03,1.035e+04
147.1,3.780e+02,3.047e+03,8.058e+03,1.148e+04
148.6,4.834e+02,3.125e+03,8.029e+03,1.164e+04
150.2,6.404e+02,2.920e+03,7.273e+03,1.083e+04
151.7,7.375e+02,2.862e+03,6.893e+03,1.049e+04
153.3,7.798e+02,2.479e+03,5.905e+03,9.164e+03
154.8,7.583e+02,1.844e+03,4.243e+03,6.845e+03
156.3,6.959e+02,1.317e+03,2.609e+03,4.621e+03
157.9,6.685e+02,9.692e+02,1.639e+03,3.276e+03
159.4,6.596e+02,8.941e+02,1.131e+03,2.684e+03
