freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.357e+01,3.189e+01,1.234e+01,1.078e+02
1.5,4.298e+01,2.525e+01,1.988e+01,8.811e+01
3.1,1.867e+01,1.441e+01,1.660e+01,4.969e+01
4.6,2.663e+02,1.041e+02,1.813e+01,3.885e+02
6.2,1.070e+03,3.776e+02,1.987e+01,1.468e+03
7.7,1.293e+03,5.039e+02,1.980e+01,1.817e+03
9.3,1.427e+03,5.860e+02,1.712e+01,2.030e+03
10.8,2.238e+03,8.667e+02,1.884e+01,3.124e+03
12.4,3.265e+03,1.242e+03,2.773e+01,4.536e+03
13.9,4.298e+03,1.838e+03,4.548e+01,6.182e+03
15.5,5.265e+03,2.307e+03,5.746e+01,7.630e+03
17.0,5.561e+03,2.057e+03,1.243e+02,7.742e+03
18.6,7.040e+03,1.936e+03,2.342e+02,9.210e+03
20.1,9.370e+03,2.422e+03,4.011e+02,1.219e+04
21.7,1.150e+04,2.338e+03,6.888e+02,1.453e+04
23.2,1.388e+04,1.825e+03,5.255e+02,1.623e+04
24.8,2.204e+04,1.962e+03,2.334e+02,2.423e+04
26.3,3.711e+04,3.215e+03,1.698e+02,4.050e+04
27.9,2.595e+04,6.936e+03,2.855e+02,3.317e+04
29.4,6.312e+03,7.969e+03,2.824e+02,1.456e+04
31.0,4.571e+03,7.740e+03,2.877e+02,1.260e+04
32.5,8.388e+03,7.902e+03,9.388e+02,1.723e+04
34.1,5.315e+03,8.940e+03,2.956e+03,1.721e+04
35.6,2.081e+03,9.407e+03,4.284e+03,1.577e+04
37.2,2.676e+03,1.140e+04,8.326e+03,2.241e+04
38.7,2.235e+03,9.022e+03,1.075e+04,2.201e+04
40.3,2.909e+03,5.451e+03,9.465e+03,1.783e+04
41.8,3.269e+03,5.318e+03,1.422e+04,2.281e+04
43.4,2.859e+03,4.498e+03,2.317e+04,3.052e+04
44.9,2.696e+03,2.130e+03,2.036e+04,2.519e+04
46.5,3.343e+03,1.184e+03,1.480e+04,1.932e+04
