freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.569e+01,1.349e+02,1.594e+02,3.600e+02
1.5,4.523e+01,8.360e+01,1.020e+02,2.308e+02
3.1,1.127e+01,2.216e+01,1.760e+01,5.103e+01
4.6,1.169e+01,3.343e+02,1.702e+01,3.630e+02
6.2,1.256e+01,1.268e+03,1.872e+01,1.299e+03
7.7,1.368e+01,2.285e+03,2.243e+01,2.321e+03
9.3,3.424e+01,3.801e+03,2.526e+01,3.860e+03
10.8,2.086e+02,6.166e+03,2.876e+01,6.403e+03
12.4,2.851e+02,7.609e+03,7.290e+01,7.967e+03
13.9,9.303e+01,5.425e+03,2.049e+02,5.723e+03
15.5,2.803e+01,6.828e+03,4.665e+02,7.323e+03
17.0,3.015e+01,9.863e+03,1.131e+03,1.102e+04
18.5,6.153e+01,1.026e+04,1.384e+03,1.170e+04
20.1,1.028e+02,1.056e+04,7.941e+02,1.146e+04
21.6,8.363e+01,1.320e+04,5.894e+02,1.387e+04
23.2,6.682e+01,1.717e+04,6.238e+02,1.786e+04
24.7,2.454e+02,2.351e+04,6.178e+02,2.438e+04
26.3,3.338e+03,3.777e+04,4.179e+03,4.529e+04
27.8,8.990e+03,5.811e+04,1.493e+04,8.202e+04
29.4,9.704e+03,8.473e+04,3.843e+04,1.329e+05
30.9,1.787e+04,1.211e+05,7.431e+04,2.133e+05
32.5,2.564e+04,1.761e+05,9.654e+04,2.983e+05
34.0,2.407e+04,2.458e+05,9.666e+04,3.665e+05
35.5,1.773e+04,1.904e+05,9.950e+04,3.077e+05
37.1,4.081e+04,8.779e+04,1.094e+05,2.380e+05
38.6,6.157e+04,4.378e+04,1.055e+05,2.109e+05
40.2,6.565e+04,1.877e+04,9.941e+04,1.838e+05
41.7,7.048e+04,1.710e+04,1.005e+05,1.881e+05
43.3,6.185e+04,2.523e+04,9.600e+04,1.831e+05
44.8,7.050e+04,2.602e+04,1.051e+05,2.017e+05
46.4,7.975e+04,2.828e+04,1.132e+05,2.212e+05
47.9,1.019e+05,3.995e+04,1.269e+05,2.687e+05
49.5,1.429e+05,6.506e+04,1.466e+05,3.546e+05
51.0,1.947e+05,9.117e+04,1.789e+05,4.648e+05
52.5,2.481e+05,1.121e+05,2.084e+05,5.685e+05
54.1,1.475e+05,6.942e+04,2.394e+05,4.563e+05
55.6,2.503e+04,1.553e+04,2.642e+05,3.048e+05
57.2,1.168e+04,1.096e+04,2.319e+05,2.545e+05
58.7,1.178e+04,1.242e+04,2.035e+05,2.277e+05
60.3,1.259e+04,1.374e+04,1.800e+05,2.064e+05
61.8,1.194e+04,1.186e+04,1.426e+05,1.664e+05
63.4,1.160e+04,1.151e+04,1.035e+05,1.266e+05
64.9,1.325e+04,1.204e+04,1.022e+05,1.275e+05
66.5,1.190e+04,1.167e+04,1.116e+05,1.352e+05
68.0,1.005e+04,1.311e+04,1.039e+05,1.271e+05
69.5,1.290e+04,1.340e+04,6.707e+04,9.337e+04
71.1,1.918e+04,9.931e+03,4.619e+04,7.530e+04
72.6,3.257e+04,1.018e+04,5.544e+04,9.819e+04
74.2,3.607e+04,9.541e+03,5.844e+04,1.041e+05
75.7,2.892e+04,7.978e+03,5.523e+04,9.212e+04
77.3,1.228e+04,5.992e+03,5.208e+04,7.036e+04
78.8,8.779e+03,5.449e+03,5.206e+04,6.629e+04
80.4,8.582e+03,5.310e+03,5.305e+04,6.694e+04
81.9,1.013e+04,5.736e+03,5.587e+04,7.174e+04
83.5,1.138e+04,6.173e+03,6.320e+04,8.075e+04
85.0,1.126e+04,6.287e+03,9.628e+04,1.138e+05
86.5,1.132e+04,5.756e+03,1.650e+05,1.821e+05
88.1,1.227e+04,5.034e+03,1.791e+05,1.964e+05
89.6,1.348e+04,5.006e+03,1.570e+05,1.754e+05
91.2,1.444e+04,5.525e+03,1.343e+05,1.542e+05
92.7,1.455e+04,5.713e+03,1.012e+05,1.214e+05
94.3,1.332e+04,5.722e+03,7.864e+04,9.769e+04
95.8,1.132e+04,5.551e+03,6.491e+04,8.179e+04
97.4,1.126e+04,5.631e+03,7.044e+04,8.733e+04
98.9,1.185e+04,4.965e+03,7.088e+04,8.769e+04
100.5,1.154e+04,3.865e+03,6.158e+04,7.699e+04
102.0,1.023e+04,3.689e+03,5.501e+04,6.893e+04
103.5,7.196e+03,3.988e+03,4.843e+04,5.962e+04
105.1,4.952e+03,4.652e+03,4.639e+04,5.599e+04
106.6,3.563e+03,4.188e+03,4.246e+04,5.022e+04
108.2,3.478e+03,3.711e+03,3.880e+04,4.599e+04
109.7,3.152e+03,3.772e+03,3.782e+04,4.474e+04
111.3,2.873e+03,3.632e+03,3.351e+04,4.002e+04
112.8,3.417e+03,3.906e+03,3.346e+04,4.078e+04
114.4,3.535e+03,2.600e+03,2.337e+04,2.951e+04
115.9,4.871e+03,1.710e+03,1.730e+04,2.388e+04
117.5,5.343e+03,1.947e+03,1.576e+04,2.305e+04
119.0,5.220e+03,2.519e+03,1.561e+04,2.335e+04
120.5,4.780e+03,2.821e+03,1.533e+04,2.293e+04
122.1,3.956e+03,2.891e+03,1.557e+04,2.241e+04
123.6,3.823e+03,2.832e+03,1.580e+04,2.245e+04
125.2,3.885e+03,2.745e+03,1.552e+04,2.215e+04
126.7,3.572e+03,2.649e+03,1.390e+04,2.012e+04
128.3,2.819e+03,2.623e+03,1.172e+04,1.716e+04
129.8,2.568e+03,2.580e+03,1.091e+04,1.606e+04
131.4,3.262e+03,2.510e+03,1.133e+04,1.710e+04
132.9,4.096e+03,1.896e+03,1.059e+04,1.659e+04
134.5,4.499e+03,1.202e+03,8.708e+03,1.441e+04
136.0,4.378e+03,1.015e+03,7.443e+03,1.284e+04
137.5,4.365e+03,8.919e+02,6.837e+03,1.209e+04
139.1,3.952e+03,6.106e+02,5.168e+03,9.731e+03
140.6,3.889e+03,4.483e+02,4.392e+03,8.730e+03
142.2,3.944e+03,3.315e+02,3.639e+03,7.914e+03
143.7,4.234e+03,2.656e+02,3.632e+03,8.132e+03
145.3,4.604e+03,2.357e+02,3.689e+03,8.530e+03
146.8,4.983e+03,2.554e+02,3.201e+03,8.439e+03
148.4,5.270e+03,2.688e+02,2.633e+03,8.172e+03
149.9,5.485e+03,3.166e+02,2.513e+03,8.314e+03
151.5,5.748e+03,4.137e+02,2.786e+03,8.948e+03
