freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.878e+01,1.031e+02,1.008e+02,2.327e+02
1.5,3.338e+01,1.141e+02,9.210e+01,2.396e+02
3.1,2.084e+01,5.077e+01,3.954e+01,1.112e+02
4.6,2.209e+01,3.729e+02,3.863e+01,4.336e+02
6.2,2.224e+01,1.413e+03,4.139e+01,1.477e+03
7.7,4.654e+01,2.367e+03,4.665e+01,2.460e+03
9.3,5.536e+01,2.819e+03,4.408e+01,2.919e+03
10.8,4.035e+01,3.493e+03,4.949e+01,3.582e+03
12.4,4.839e+01,5.283e+03,8.505e+01,5.416e+03
13.9,9.425e+01,7.402e+03,1.773e+02,7.674e+03
15.5,1.200e+02,9.674e+03,1.803e+02,9.974e+03
17.0,2.827e+02,1.271e+04,3.728e+02,1.336e+04
18.6,5.746e+02,1.208e+04,1.249e+03,1.390e+04
20.1,1.313e+03,1.072e+04,2.226e+03,1.425e+04
21.7,2.478e+03,1.294e+04,3.672e+03,1.909e+04
23.2,3.789e+03,1.703e+04,5.090e+03,2.591e+04
24.8,4.850e+03,2.115e+04,9.247e+03,3.525e+04
26.3,4.974e+03,3.164e+04,1.561e+04,5.223e+04
27.9,2.936e+03,4.901e+04,2.016e+04,7.211e+04
29.4,3.834e+03,7.093e+04,3.221e+04,1.070e+05
31.0,7.845e+03,1.023e+05,5.482e+04,1.650e+05
32.5,1.535e+04,1.192e+05,8.319e+04,2.177e+05
34.1,2.915e+04,1.208e+05,1.159e+05,2.659e+05
35.6,2.500e+04,9.078e+04,1.238e+05,2.395e+05
37.2,1.945e+04,4.772e+04,7.046e+04,1.376e+05
38.7,3.036e+04,3.004e+04,4.031e+04,1.007e+05
40.3,3.916e+04,1.834e+04,2.681e+04,8.431e+04
41.8,4.349e+04,1.560e+04,2.824e+04,8.734e+04
43.4,2.852e+04,1.324e+04,4.446e+04,8.622e+04
44.9,1.488e+04,1.334e+04,5.971e+04,8.793e+04
46.5,1.212e+04,1.262e+04,6.176e+04,8.651e+04
48.0,1.239e+04,1.008e+04,6.440e+04,8.687e+04
49.6,1.463e+04,1.003e+04,7.040e+04,9.506e+04
51.1,1.865e+04,1.245e+04,8.178e+04,1.129e+05
52.7,1.866e+04,1.113e+04,9.576e+04,1.256e+05
54.2,1.661e+04,1.074e+04,1.130e+05,1.404e+05
55.7,1.453e+04,1.151e+04,1.279e+05,1.539e+05
57.3,1.537e+04,1.383e+04,1.227e+05,1.519e+05
58.8,1.747e+04,1.546e+04,1.166e+05,1.495e+05
60.4,1.811e+04,1.640e+04,1.190e+05,1.535e+05
61.9,1.868e+04,1.655e+04,9.986e+04,1.351e+05
63.5,1.824e+04,1.540e+04,7.046e+04,1.041e+05
65.0,1.849e+04,1.212e+04,5.153e+04,8.214e+04
66.6,1.829e+04,1.129e+04,4.380e+04,7.338e+04
68.1,1.950e+04,1.195e+04,4.141e+04,7.286e+04
69.7,2.079e+04,1.219e+04,4.474e+04,7.772e+04
71.2,1.874e+04,1.097e+04,4.534e+04,7.505e+04
72.8,1.342e+04,8.322e+03,4.277e+04,6.451e+04
74.3,1.143e+04,6.752e+03,4.221e+04,6.039e+04
75.9,1.339e+04,6.775e+03,4.240e+04,6.257e+04
77.4,1.393e+04,6.621e+03,4.369e+04,6.424e+04
79.0,1.510e+04,7.631e+03,5.211e+04,7.483e+04
80.5,1.563e+04,8.152e+03,5.687e+04,8.065e+04
82.1,1.573e+04,8.199e+03,5.565e+04,7.958e+04
83.6,1.596e+04,9.222e+03,5.486e+04,8.004e+04
85.2,1.692e+04,1.060e+04,5.141e+04,7.893e+04
86.7,1.655e+04,1.118e+04,5.169e+04,7.942e+04
88.3,1.365e+04,9.567e+03,8.103e+04,1.043e+05
89.8,1.413e+04,7.646e+03,1.601e+05,1.819e+05
91.4,1.453e+04,7.339e+03,1.973e+05,2.192e+05
92.9,1.267e+04,7.601e+03,1.739e+05,1.942e+05
94.5,1.037e+04,7.446e+03,1.337e+05,1.515e+05
96.0,8.261e+03,6.968e+03,9.518e+04,1.104e+05
97.6,6.970e+03,6.698e+03,6.981e+04,8.348e+04
99.1,6.320e+03,6.151e+03,6.388e+04,7.635e+04
100.7,6.188e+03,5.661e+03,7.273e+04,8.458e+04
102.2,5.698e+03,5.375e+03,7.169e+04,8.276e+04
103.8,4.640e+03,5.147e+03,6.293e+04,7.271e+04
105.3,3.927e+03,4.868e+03,5.538e+04,6.418e+04
106.8,3.321e+03,4.461e+03,5.082e+04,5.860e+04
108.4,2.602e+03,3.406e+03,4.121e+04,4.722e+04
109.9,2.530e+03,2.434e+03,2.789e+04,3.285e+04
111.5,2.518e+03,2.201e+03,2.265e+04,2.737e+04
113.0,2.443e+03,2.040e+03,1.994e+04,2.442e+04
114.6,2.263e+03,1.838e+03,1.704e+04,2.114e+04
116.1,2.301e+03,1.673e+03,1.500e+04,1.898e+04
117.7,2.135e+03,1.544e+03,1.319e+04,1.687e+04
119.2,1.813e+03,1.416e+03,1.156e+04,1.479e+04
120.8,1.486e+03,1.297e+03,1.041e+04,1.319e+04
122.3,1.386e+03,1.137e+03,8.864e+03,1.139e+04
123.9,1.346e+03,1.190e+03,8.406e+03,1.094e+04
125.4,1.196e+03,1.425e+03,9.340e+03,1.196e+04
127.0,9.601e+02,1.621e+03,9.935e+03,1.252e+04
128.5,8.803e+02,1.825e+03,8.559e+03,1.127e+04
130.1,8.469e+02,2.036e+03,6.992e+03,9.875e+03
131.6,7.989e+02,1.852e+03,6.582e+03,9.232e+03
