freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.759e+00,5.276e+01,5.928e+00,6.245e+01
1.5,9.175e+00,3.537e+01,1.581e+01,6.036e+01
3.1,8.657e+00,1.727e+01,1.593e+01,4.186e+01
4.6,8.202e+00,3.091e+02,1.557e+01,3.328e+02
6.2,8.583e+00,1.138e+03,1.560e+01,1.163e+03
7.7,1.016e+01,2.014e+03,1.753e+01,2.042e+03
9.3,9.782e+01,3.321e+03,1.821e+01,3.437e+03
10.8,2.938e+02,4.119e+03,1.980e+01,4.433e+03
12.4,1.476e+02,4.177e+03,2.019e+01,4.345e+03
13.9,4.389e+01,4.245e+03,1.956e+01,4.309e+03
15.5,1.706e+01,5.364e+03,1.895e+01,5.400e+03
17.0,1.471e+01,6.972e+03,2.435e+01,7.011e+03
18.6,1.742e+01,7.912e+03,2.172e+01,7.951e+03
20.1,1.898e+01,9.391e+03,3.276e+01,9.443e+03
21.7,2.109e+01,1.052e+04,9.689e+01,1.064e+04
23.2,1.943e+01,1.196e+04,1.756e+02,1.215e+04
24.8,2.252e+01,1.401e+04,2.972e+02,1.433e+04
26.3,4.758e+01,1.625e+04,6.355e+02,1.693e+04
27.9,6.207e+01,1.446e+04,8.240e+02,1.535e+04
29.4,2.390e+02,1.497e+04,1.009e+03,1.622e+04
31.0,5.333e+02,1.692e+04,1.186e+03,1.864e+04
32.5,5.871e+02,1.883e+04,7.745e+02,2.019e+04
34.1,6.214e+02,2.434e+04,3.949e+02,2.536e+04
35.6,6.928e+02,3.068e+04,4.110e+02,3.178e+04
37.2,3.667e+02,2.341e+04,7.922e+02,2.456e+04
38.7,1.790e+02,1.796e+04,9.800e+02,1.912e+04
40.3,1.763e+02,1.863e+04,1.237e+03,2.004e+04
41.8,4.498e+02,1.710e+04,1.461e+03,1.901e+04
43.4,1.542e+03,1.577e+04,1.344e+03,1.865e+04
44.9,3.180e+03,1.818e+04,1.145e+03,2.251e+04
46.5,4.796e+03,2.052e+04,1.019e+03,2.633e+04
48.0,6.378e+03,1.848e+04,1.158e+03,2.601e+04
49.6,8.143e+03,1.329e+04,1.606e+03,2.304e+04
51.1,7.528e+03,7.774e+03,1.824e+03,1.713e+04
52.7,5.197e+03,5.217e+03,1.620e+03,1.203e+04
54.2,5.411e+03,9.604e+03,1.276e+03,1.629e+04
55.8,3.950e+03,1.217e+04,8.560e+02,1.698e+04
57.3,1.041e+03,6.420e+03,5.731e+02,8.035e+03
58.9,1.680e+02,3.044e+03,6.284e+02,3.841e+03
60.4,1.670e+02,2.616e+03,9.835e+02,3.766e+03
61.9,2.380e+02,1.857e+03,1.355e+03,3.450e+03
63.5,3.445e+02,1.756e+03,1.967e+03,4.067e+03
65.0,3.706e+02,1.736e+03,2.630e+03,4.737e+03
66.6,5.454e+02,1.595e+03,2.951e+03,5.091e+03
68.1,6.931e+02,1.780e+03,3.164e+03,5.637e+03
69.7,6.779e+02,1.954e+03,3.743e+03,6.375e+03
71.2,5.894e+02,2.050e+03,4.636e+03,7.276e+03
72.8,4.605e+02,1.957e+03,5.632e+03,8.049e+03
74.3,3.345e+02,1.764e+03,6.554e+03,8.653e+03
75.9,2.615e+02,1.874e+03,8.250e+03,1.039e+04
77.4,1.972e+02,2.010e+03,9.144e+03,1.135e+04
79.0,1.436e+02,1.915e+03,7.791e+03,9.850e+03
80.5,1.094e+02,1.567e+03,6.154e+03,7.830e+03
82.1,9.878e+01,1.266e+03,6.287e+03,7.652e+03
83.6,1.359e+02,1.061e+03,7.732e+03,8.929e+03
85.2,2.360e+02,8.584e+02,8.425e+03,9.519e+03
86.7,3.378e+02,7.178e+02,8.389e+03,9.444e+03
88.3,5.284e+02,6.557e+02,8.505e+03,9.690e+03
89.8,6.812e+02,6.598e+02,7.344e+03,8.685e+03
