freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.572e+01,2.475e+01,8.390e+00,1.289e+02
1.5,6.086e+01,2.293e+01,1.656e+01,1.003e+02
3.1,2.207e+01,1.153e+01,1.667e+01,5.027e+01
4.6,3.401e+02,1.354e+01,1.767e+01,3.713e+02
6.2,1.295e+03,1.805e+01,1.823e+01,1.331e+03
7.7,2.267e+03,2.092e+01,1.737e+01,2.306e+03
9.3,3.038e+03,1.827e+01,2.268e+01,3.079e+03
10.8,2.916e+03,1.524e+01,2.600e+01,2.957e+03
12.3,3.648e+03,1.645e+01,2.180e+01,3.686e+03
13.9,4.847e+03,2.068e+01,1.959e+01,4.887e+03
15.4,5.891e+03,2.520e+01,1.903e+01,5.935e+03
17.0,7.126e+03,4.444e+01,1.921e+01,7.190e+03
18.5,8.065e+03,1.440e+02,2.235e+01,8.231e+03
20.1,8.092e+03,2.126e+02,3.562e+01,8.340e+03
21.6,8.899e+03,3.988e+02,6.280e+01,9.361e+03
23.1,1.063e+04,6.065e+02,1.479e+02,1.139e+04
24.7,1.279e+04,7.669e+02,3.438e+02,1.391e+04
26.2,1.488e+04,9.351e+02,1.292e+03,1.710e+04
27.8,2.300e+04,3.832e+02,5.079e+03,2.847e+04
29.3,3.033e+04,1.667e+02,1.110e+04,4.159e+04
30.9,1.807e+04,1.650e+02,1.101e+04,2.924e+04
32.4,6.793e+03,1.648e+02,6.213e+03,1.317e+04
33.9,5.647e+03,2.282e+02,2.775e+03,8.650e+03
35.5,8.752e+03,4.140e+02,1.634e+03,1.080e+04
37.0,1.196e+04,8.495e+02,3.598e+03,1.640e+04
38.6,7.686e+03,1.881e+03,6.496e+03,1.606e+04
40.1,3.617e+03,5.041e+03,6.372e+03,1.503e+04
41.7,4.692e+03,1.343e+04,6.188e+03,2.431e+04
43.2,7.750e+03,2.992e+04,5.186e+03,4.286e+04
44.7,1.183e+04,5.281e+04,3.106e+03,6.775e+04
46.3,1.488e+04,1.080e+05,1.480e+03,1.243e+05
47.8,1.112e+04,1.379e+05,6.609e+02,1.497e+05
49.4,7.958e+03,8.832e+04,5.485e+02,9.683e+04
50.9,9.899e+03,4.669e+04,6.457e+02,5.724e+04
52.5,1.319e+04,2.866e+04,6.773e+02,4.253e+04
54.0,1.604e+04,2.056e+04,7.683e+02,3.737e+04
55.5,1.705e+04,1.692e+04,1.202e+03,3.517e+04
57.1,1.800e+04,1.201e+04,1.404e+03,3.141e+04
58.6,1.914e+04,8.416e+03,1.493e+03,2.905e+04
60.2,1.999e+04,8.147e+03,1.707e+03,2.984e+04
61.7,2.144e+04,7.320e+03,1.847e+03,3.061e+04
63.3,2.386e+04,7.211e+03,1.955e+03,3.302e+04
64.8,2.658e+04,7.368e+03,1.996e+03,3.595e+04
66.3,2.973e+04,6.975e+03,1.990e+03,3.869e+04
67.9,3.315e+04,6.745e+03,1.899e+03,4.180e+04
69.4,3.683e+04,8.697e+03,2.102e+03,4.763e+04
71.0,4.043e+04,1.165e+04,2.499e+03,5.458e+04
72.5,4.866e+04,1.338e+04,2.791e+03,6.484e+04
74.1,6.281e+04,1.365e+04,2.779e+03,7.923e+04
75.6,7.838e+04,1.239e+04,2.312e+03,9.308e+04
77.1,8.851e+04,1.070e+04,1.482e+03,1.007e+05
78.7,1.004e+05,1.908e+04,1.331e+03,1.208e+05
80.2,1.356e+05,3.089e+04,1.832e+03,1.683e+05
81.8,1.665e+05,3.213e+04,1.916e+03,2.005e+05
83.3,1.901e+05,2.895e+04,1.637e+03,2.207e+05
84.9,2.421e+05,2.234e+04,1.100e+03,2.655e+05
86.4,2.694e+05,1.695e+04,7.055e+02,2.870e+05
87.9,2.526e+05,1.193e+04,4.258e+02,2.650e+05
89.5,2.797e+05,9.531e+03,3.253e+02,2.895e+05
91.0,2.922e+05,7.353e+03,2.162e+02,2.998e+05
92.6,2.738e+05,5.479e+03,1.292e+02,2.794e+05
94.1,2.123e+05,3.825e+03,3.098e+02,2.164e+05
95.7,1.827e+05,3.293e+03,7.842e+02,1.868e+05
97.2,1.546e+05,2.304e+03,2.841e+02,1.571e+05
98.7,1.469e+05,1.483e+03,2.350e+02,1.487e+05
100.3,1.341e+05,9.281e+02,2.871e+02,1.354e+05
101.8,1.191e+05,5.999e+02,3.442e+02,1.201e+05
103.4,1.090e+05,4.513e+02,4.073e+02,1.098e+05
104.9,1.017e+05,3.947e+02,4.193e+02,1.025e+05
106.5,1.068e+05,3.537e+02,4.697e+02,1.077e+05
108.0,1.092e+05,3.409e+02,7.243e+02,1.102e+05
109.5,9.707e+04,3.066e+02,9.050e+02,9.828e+04
111.1,7.846e+04,2.795e+02,7.782e+02,7.952e+04
112.6,7.034e+04,3.248e+02,8.422e+02,7.151e+04
114.2,6.661e+04,3.688e+02,9.489e+02,6.793e+04
115.7,6.126e+04,4.048e+02,1.036e+03,6.270e+04
117.3,5.760e+04,4.544e+02,1.072e+03,5.913e+04
118.8,5.617e+04,4.898e+02,1.099e+03,5.776e+04
120.3,5.423e+04,4.607e+02,1.086e+03,5.578e+04
121.9,5.256e+04,4.751e+02,1.131e+03,5.416e+04
123.4,5.270e+04,6.685e+02,1.349e+03,5.472e+04
125.0,5.457e+04,8.417e+02,1.496e+03,5.691e+04
126.5,5.695e+04,9.543e+02,1.480e+03,5.939e+04
128.1,5.987e+04,9.677e+02,1.240e+03,6.208e+04
129.6,6.341e+04,7.563e+02,7.992e+02,6.497e+04
131.1,6.544e+04,5.104e+02,7.947e+02,6.675e+04
132.7,5.049e+04,4.580e+02,1.078e+03,5.203e+04
134.2,2.195e+04,3.799e+02,7.060e+02,2.304e+04
135.8,1.493e+04,3.633e+02,8.454e+02,1.614e+04
137.3,1.278e+04,4.937e+02,1.125e+03,1.440e+04
138.9,1.075e+04,6.592e+02,1.528e+03,1.294e+04
140.4,8.274e+03,8.695e+02,2.069e+03,1.121e+04
141.9,5.978e+03,1.154e+03,2.592e+03,9.725e+03
143.5,5.073e+03,1.672e+03,3.335e+03,1.008e+04
145.0,4.441e+03,2.424e+03,4.351e+03,1.122e+04
146.6,3.802e+03,3.350e+03,5.535e+03,1.269e+04
148.1,3.355e+03,4.542e+03,6.901e+03,1.480e+04
149.7,3.173e+03,5.650e+03,7.824e+03,1.665e+04
151.2,3.225e+03,6.064e+03,7.560e+03,1.685e+04
152.7,3.597e+03,5.604e+03,6.212e+03,1.541e+04
154.3,4.021e+03,4.665e+03,4.528e+03,1.321e+04
155.8,4.203e+03,3.953e+03,3.451e+03,1.161e+04
157.4,5.404e+03,3.415e+03,2.569e+03,1.139e+04
158.9,9.152e+03,2.910e+03,1.700e+03,1.376e+04
160.5,1.518e+04,2.497e+03,1.192e+03,1.887e+04
162.0,2.271e+04,2.305e+03,1.465e+03,2.648e+04
163.5,2.621e+04,2.293e+03,2.379e+03,3.089e+04
165.1,2.704e+04,2.383e+03,3.548e+03,3.297e+04
166.6,2.629e+04,2.500e+03,5.386e+03,3.417e+04
168.2,2.076e+04,2.688e+03,7.289e+03,3.073e+04
169.7,1.339e+04,2.655e+03,6.436e+03,2.248e+04
171.3,1.352e+04,3.286e+03,8.101e+03,2.491e+04
172.8,1.553e+04,4.469e+03,1.101e+04,3.102e+04
174.3,1.433e+04,5.048e+03,9.756e+03,2.914e+04
175.9,1.039e+04,4.843e+03,7.544e+03,2.278e+04
177.4,8.201e+03,5.875e+03,6.997e+03,2.107e+04
179.0,9.714e+03,7.567e+03,6.446e+03,2.373e+04
180.5,1.193e+04,8.624e+03,5.286e+03,2.584e+04
182.1,1.459e+04,9.697e+03,4.316e+03,2.860e+04
183.6,1.408e+04,8.043e+03,2.714e+03,2.484e+04
185.1,1.183e+04,5.667e+03,1.575e+03,1.907e+04
186.7,9.703e+03,4.103e+03,9.635e+02,1.477e+04
188.2,7.900e+03,2.920e+03,6.070e+02,1.143e+04
189.8,6.696e+03,2.194e+03,4.470e+02,9.337e+03
191.3,6.358e+03,1.913e+03,3.937e+02,8.664e+03
192.9,5.246e+03,1.375e+03,2.047e+02,6.826e+03
194.4,4.665e+03,1.077e+03,1.766e+02,5.919e+03
195.9,4.373e+03,8.745e+02,1.836e+02,5.431e+03
197.5,3.914e+03,7.255e+02,2.206e+02,4.860e+03
199.0,3.602e+03,5.610e+02,2.981e+02,4.461e+03
