freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.101e+01,3.991e+01,5.984e+01,1.108e+02
1.5,1.356e+01,2.947e+01,4.474e+01,8.776e+01
3.1,1.074e+01,1.061e+01,2.274e+01,4.409e+01
4.6,1.024e+01,1.221e+01,3.147e+02,3.372e+02
6.2,9.261e+00,1.389e+01,1.165e+03,1.188e+03
7.7,9.432e+00,1.687e+01,1.979e+03,2.005e+03
9.3,1.005e+01,3.756e+01,2.997e+03,3.044e+03
10.8,1.407e+01,1.128e+02,4.008e+03,4.135e+03
12.3,1.732e+01,1.008e+02,4.067e+03,4.185e+03
13.9,1.686e+01,7.405e+01,4.803e+03,4.894e+03
15.4,1.964e+01,9.323e+01,6.146e+03,6.259e+03
17.0,3.297e+01,1.842e+02,7.627e+03,7.844e+03
18.5,9.722e+01,3.823e+02,8.251e+03,8.731e+03
20.0,2.267e+02,5.745e+02,9.003e+03,9.804e+03
21.6,4.129e+02,8.863e+02,1.056e+04,1.186e+04
23.1,8.111e+02,1.764e+03,1.324e+04,1.581e+04
24.7,1.746e+03,3.944e+03,1.593e+04,2.162e+04
26.2,1.833e+03,5.303e+03,1.363e+04,2.076e+04
27.8,1.019e+03,4.046e+03,1.027e+04,1.534e+04
29.3,5.153e+02,4.275e+03,1.115e+04,1.594e+04
30.8,3.782e+02,7.907e+03,1.413e+04,2.242e+04
32.4,4.513e+02,1.722e+04,1.666e+04,3.433e+04
33.9,3.247e+02,2.588e+04,1.364e+04,3.985e+04
35.5,2.801e+02,2.083e+04,6.660e+03,2.777e+04
37.0,5.509e+02,1.370e+04,3.592e+03,1.784e+04
38.6,8.440e+02,8.116e+03,3.186e+03,1.215e+04
40.1,8.455e+02,4.599e+03,4.155e+03,9.600e+03
41.6,8.300e+02,2.911e+03,5.338e+03,9.078e+03
43.2,1.747e+03,1.725e+03,6.649e+03,1.012e+04
44.7,6.609e+03,1.268e+03,8.142e+03,1.602e+04
46.3,1.855e+04,3.831e+03,9.628e+03,3.201e+04
47.8,2.822e+04,8.378e+03,9.480e+03,4.608e+04
49.4,2.180e+04,8.014e+03,8.377e+03,3.819e+04
50.9,1.179e+04,5.025e+03,8.533e+03,2.535e+04
52.4,6.283e+03,3.037e+03,9.168e+03,1.849e+04
54.0,3.563e+03,1.950e+03,1.015e+04,1.566e+04
55.5,2.348e+03,1.276e+03,1.169e+04,1.531e+04
57.1,1.837e+03,1.107e+03,1.353e+04,1.648e+04
58.6,1.950e+03,1.876e+03,1.574e+04,1.956e+04
60.1,2.379e+03,4.212e+03,1.745e+04,2.404e+04
61.7,1.682e+03,2.162e+03,1.904e+04,2.288e+04
63.2,1.202e+03,9.542e+02,2.083e+04,2.299e+04
64.8,9.399e+02,8.845e+02,2.387e+04,2.569e+04
66.3,8.362e+02,2.103e+03,2.778e+04,3.072e+04
67.9,8.114e+02,4.710e+03,3.258e+04,3.810e+04
69.4,8.463e+02,9.419e+03,3.797e+04,4.824e+04
70.9,1.735e+03,2.657e+04,5.058e+04,7.888e+04
72.5,3.436e+03,5.665e+04,5.861e+04,1.187e+05
74.0,4.839e+03,8.795e+04,5.780e+04,1.506e+05
75.6,4.702e+03,8.686e+04,4.883e+04,1.404e+05
77.1,4.388e+03,6.868e+04,4.511e+04,1.182e+05
78.7,4.771e+03,6.774e+04,5.118e+04,1.237e+05
80.2,4.990e+03,7.598e+04,5.756e+04,1.385e+05
81.7,4.597e+03,7.124e+04,4.993e+04,1.258e+05
83.3,3.916e+03,7.353e+04,4.579e+04,1.232e+05
84.8,3.824e+03,7.574e+04,3.868e+04,1.182e+05
86.4,4.105e+03,7.106e+04,2.970e+04,1.049e+05
87.9,3.809e+03,6.683e+04,2.283e+04,9.347e+04
89.4,3.597e+03,6.002e+04,1.609e+04,7.970e+04
91.0,3.590e+03,5.807e+04,1.177e+04,7.342e+04
92.5,3.447e+03,5.848e+04,9.668e+03,7.160e+04
94.1,4.693e+03,6.447e+04,8.125e+03,7.729e+04
95.6,6.408e+03,6.927e+04,7.235e+03,8.291e+04
97.2,4.759e+03,6.875e+04,5.432e+03,7.894e+04
98.7,5.180e+03,7.127e+04,4.471e+03,8.093e+04
100.2,5.912e+03,7.197e+04,3.679e+03,8.156e+04
101.8,6.839e+03,7.260e+04,3.311e+03,8.274e+04
