freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.922e+01,1.255e+02,1.101e+02,2.848e+02
1.6,3.896e+01,7.680e+01,7.367e+01,1.894e+02
3.1,1.263e+01,2.386e+01,1.690e+01,5.338e+01
4.7,1.251e+01,3.717e+02,1.921e+01,4.034e+02
6.2,1.396e+01,1.355e+03,2.597e+01,1.395e+03
7.8,1.618e+01,2.395e+03,2.901e+01,2.440e+03
9.3,7.791e+01,4.134e+03,2.769e+01,4.240e+03
10.9,3.039e+02,7.246e+03,2.640e+01,7.576e+03
12.4,1.873e+02,6.986e+03,4.287e+01,7.216e+03
14.0,4.112e+01,4.327e+03,1.062e+02,4.475e+03
15.5,2.011e+01,6.152e+03,2.996e+02,6.472e+03
17.1,2.834e+01,7.934e+03,4.134e+02,8.376e+03
18.6,4.838e+01,9.784e+03,2.443e+02,1.008e+04
20.2,6.141e+01,1.207e+04,1.596e+02,1.229e+04
21.7,8.578e+01,1.508e+04,2.904e+02,1.545e+04
23.3,1.306e+02,1.848e+04,5.650e+02,1.918e+04
24.8,2.674e+02,2.303e+04,7.736e+02,2.407e+04
26.4,7.207e+02,3.188e+04,1.543e+03,3.414e+04
27.9,1.265e+03,4.592e+04,4.270e+03,5.145e+04
29.5,2.068e+03,5.981e+04,8.629e+03,7.051e+04
31.0,4.780e+03,6.688e+04,1.013e+04,8.180e+04
32.6,9.422e+03,8.156e+04,1.304e+04,1.040e+05
34.1,2.337e+04,1.062e+05,3.060e+04,1.602e+05
35.7,5.240e+04,1.411e+05,7.099e+04,2.645e+05
37.2,6.592e+04,1.497e+05,8.567e+04,3.012e+05
38.8,5.444e+04,1.207e+05,7.418e+04,2.493e+05
40.3,2.957e+04,8.073e+04,6.283e+04,1.731e+05
41.9,2.247e+04,7.167e+04,6.601e+04,1.601e+05
43.4,2.715e+04,6.535e+04,6.615e+04,1.587e+05
45.0,4.673e+04,6.635e+04,7.176e+04,1.848e+05
46.6,5.862e+04,6.386e+04,7.644e+04,1.989e+05
48.1,7.398e+04,7.214e+04,7.729e+04,2.234e+05
49.7,5.207e+04,4.616e+04,7.272e+04,1.710e+05
51.2,3.311e+04,2.157e+04,7.399e+04,1.287e+05
52.8,3.153e+04,1.862e+04,7.679e+04,1.269e+05
54.3,3.386e+04,2.079e+04,7.830e+04,1.330e+05
55.9,4.146e+04,1.966e+04,9.549e+04,1.566e+05
57.4,6.622e+04,2.307e+04,1.311e+05,2.204e+05
59.0,9.654e+04,3.651e+04,1.655e+05,2.985e+05
60.5,1.341e+05,6.236e+04,1.768e+05,3.733e+05
62.1,2.084e+05,1.081e+05,2.036e+05,5.201e+05
63.6,1.851e+05,9.604e+04,2.105e+05,4.916e+05
65.2,5.501e+04,2.425e+04,1.260e+05,2.052e+05
66.7,3.499e+04,1.353e+04,9.565e+04,1.442e+05
68.3,3.639e+04,1.591e+04,7.124e+04,1.235e+05
69.8,3.255e+04,1.491e+04,6.996e+04,1.174e+05
71.4,2.659e+04,1.336e+04,7.419e+04,1.141e+05
72.9,2.868e+04,1.313e+04,7.041e+04,1.122e+05
74.5,2.884e+04,1.223e+04,7.084e+04,1.119e+05
76.0,2.464e+04,1.168e+04,7.765e+04,1.140e+05
77.6,2.335e+04,1.310e+04,8.052e+04,1.170e+05
79.1,2.142e+04,1.406e+04,7.771e+04,1.132e+05
80.7,1.967e+04,1.436e+04,6.867e+04,1.027e+05
82.2,1.934e+04,1.228e+04,5.573e+04,8.735e+04
83.8,2.095e+04,9.968e+03,4.681e+04,7.772e+04
85.3,2.475e+04,9.138e+03,4.204e+04,7.593e+04
86.9,2.742e+04,7.500e+03,4.793e+04,8.285e+04
88.4,2.819e+04,7.619e+03,4.868e+04,8.449e+04
90.0,2.787e+04,9.501e+03,4.813e+04,8.550e+04
91.5,2.546e+04,1.038e+04,8.564e+04,1.215e+05
93.1,2.290e+04,1.005e+04,1.327e+05,1.656e+05
94.7,2.743e+04,9.418e+03,1.185e+05,1.554e+05
96.2,4.343e+04,8.936e+03,1.211e+05,1.734e+05
97.8,4.621e+04,6.883e+03,1.406e+05,1.937e+05
99.3,3.407e+04,4.836e+03,1.447e+05,1.836e+05
100.9,2.670e+04,4.318e+03,1.344e+05,1.654e+05
102.4,2.131e+04,3.893e+03,1.196e+05,1.448e+05
104.0,1.921e+04,3.766e+03,1.072e+05,1.302e+05
105.5,2.011e+04,4.176e+03,9.885e+04,1.231e+05
107.1,2.454e+04,4.336e+03,1.106e+05,1.395e+05
108.6,2.655e+04,4.370e+03,1.082e+05,1.391e+05
110.2,2.560e+04,4.647e+03,8.997e+04,1.202e+05
111.7,2.498e+04,5.322e+03,7.657e+04,1.069e+05
113.3,1.978e+04,4.761e+03,6.065e+04,8.520e+04
114.8,1.465e+04,3.984e+03,4.966e+04,6.829e+04
116.4,1.187e+04,3.558e+03,4.246e+04,5.788e+04
117.9,9.498e+03,2.930e+03,3.434e+04,4.677e+04
119.5,8.409e+03,2.887e+03,3.073e+04,4.202e+04
121.0,7.969e+03,3.043e+03,2.931e+04,4.033e+04
122.6,7.148e+03,3.042e+03,2.710e+04,3.729e+04
124.1,7.878e+03,4.541e+03,3.022e+04,4.264e+04
125.7,7.451e+03,4.355e+03,2.632e+04,3.813e+04
127.2,6.694e+03,3.246e+03,2.148e+04,3.142e+04
128.8,4.412e+03,1.991e+03,1.598e+04,2.239e+04
130.3,4.684e+03,2.109e+03,1.369e+04,2.048e+04
131.9,4.156e+03,2.002e+03,1.193e+04,1.808e+04
133.4,2.953e+03,1.437e+03,8.024e+03,1.241e+04
135.0,1.921e+03,1.135e+03,6.466e+03,9.522e+03
136.5,1.614e+03,9.880e+02,6.866e+03,9.469e+03
138.1,1.392e+03,7.775e+02,6.023e+03,8.193e+03
139.7,1.610e+03,7.159e+02,6.053e+03,8.379e+03
141.2,1.993e+03,9.178e+02,7.244e+03,1.015e+04
142.8,2.287e+03,1.183e+03,6.801e+03,1.027e+04
144.3,2.045e+03,1.666e+03,7.016e+03,1.073e+04
