freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.083e+01,2.394e+01,1.125e+01,6.602e+01
1.5,2.926e+01,2.218e+01,3.257e+01,8.400e+01
3.1,2.041e+01,1.598e+01,2.092e+01,5.731e+01
4.6,2.428e+02,1.205e+02,1.838e+01,3.816e+02
6.2,9.078e+02,4.147e+02,1.860e+01,1.341e+03
7.7,1.673e+03,6.854e+02,1.850e+01,2.377e+03
9.3,2.444e+03,9.412e+02,1.890e+01,3.404e+03
10.8,2.094e+03,1.261e+03,1.998e+01,3.375e+03
12.4,2.466e+03,1.733e+03,2.052e+01,4.219e+03
13.9,2.975e+03,1.481e+03,2.457e+01,4.481e+03
15.4,4.035e+03,1.212e+03,3.684e+01,5.284e+03
17.0,5.242e+03,1.441e+03,1.013e+02,6.784e+03
18.5,4.672e+03,1.770e+03,2.361e+02,6.678e+03
20.1,4.243e+03,2.104e+03,2.527e+02,6.599e+03
21.6,2.741e+03,2.423e+03,1.814e+02,5.345e+03
23.2,2.651e+03,2.802e+03,2.446e+02,5.698e+03
24.7,4.359e+03,2.754e+03,4.240e+02,7.536e+03
26.2,7.424e+03,2.155e+03,3.173e+02,9.896e+03
27.8,1.048e+04,2.072e+03,1.254e+02,1.268e+04
29.3,1.600e+04,2.206e+03,7.132e+01,1.828e+04
30.9,1.980e+04,2.559e+03,1.118e+02,2.247e+04
32.4,1.341e+04,3.202e+03,2.550e+02,1.687e+04
34.0,6.396e+03,3.524e+03,3.660e+02,1.029e+04
35.5,2.051e+03,3.978e+03,5.419e+02,6.571e+03
37.1,9.017e+02,4.585e+03,8.246e+02,6.311e+03
38.6,9.984e+02,5.004e+03,1.280e+03,7.283e+03
40.1,1.376e+03,5.615e+03,2.186e+03,9.177e+03
41.7,1.999e+03,6.956e+03,5.258e+03,1.421e+04
43.2,2.247e+03,6.887e+03,8.384e+03,1.752e+04
44.8,2.405e+03,6.052e+03,7.004e+03,1.546e+04
46.3,2.813e+03,6.255e+03,5.832e+03,1.490e+04
47.9,2.755e+03,5.688e+03,4.977e+03,1.342e+04
49.4,2.840e+03,5.412e+03,3.547e+03,1.180e+04
51.0,4.662e+03,8.096e+03,4.438e+03,1.720e+04
52.5,6.879e+03,9.838e+03,5.373e+03,2.209e+04
54.0,8.416e+03,1.052e+04,5.916e+03,2.485e+04
55.6,9.349e+03,1.106e+04,5.710e+03,2.612e+04
57.1,9.037e+03,1.029e+04,4.311e+03,2.363e+04
58.7,1.043e+04,1.146e+04,3.945e+03,2.583e+04
60.2,1.195e+04,1.278e+04,4.350e+03,2.908e+04
61.8,1.467e+04,1.578e+04,4.660e+03,3.512e+04
63.3,1.725e+04,1.930e+04,4.555e+03,4.111e+04
64.8,2.165e+04,2.481e+04,4.290e+03,5.076e+04
66.4,2.303e+04,2.716e+04,3.444e+03,5.364e+04
67.9,2.386e+04,2.851e+04,2.842e+03,5.522e+04
69.5,2.665e+04,3.110e+04,2.821e+03,6.057e+04
71.0,3.191e+04,3.687e+04,3.019e+03,7.180e+04
72.6,4.007e+04,4.859e+04,3.263e+03,9.191e+04
74.1,3.867e+04,5.438e+04,2.435e+03,9.549e+04
75.7,2.944e+04,5.110e+04,1.155e+03,8.170e+04
77.2,2.866e+04,5.642e+04,5.324e+02,8.561e+04
78.7,2.729e+04,5.599e+04,2.206e+02,8.350e+04
80.3,2.285e+04,4.783e+04,8.246e+01,7.077e+04
81.8,1.682e+04,3.630e+04,4.862e+01,5.317e+04
83.4,1.353e+04,2.971e+04,7.646e+01,4.331e+04
84.9,1.134e+04,2.559e+04,1.559e+02,3.709e+04
86.5,9.632e+03,2.243e+04,2.591e+02,3.232e+04
