freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.210e+01,1.197e+02,1.099e+02,2.518e+02
1.5,2.237e+01,7.395e+01,7.281e+01,1.691e+02
3.1,1.275e+01,2.191e+01,1.800e+01,5.266e+01
4.6,1.308e+01,3.688e+02,1.805e+01,4.000e+02
6.2,1.361e+01,1.399e+03,1.703e+01,1.429e+03
7.7,1.846e+01,2.618e+03,1.553e+01,2.652e+03
9.3,1.956e+02,4.562e+03,1.988e+01,4.777e+03
10.8,4.966e+02,7.574e+03,3.893e+01,8.109e+03
12.4,5.039e+02,9.681e+03,9.319e+01,1.028e+04
13.9,2.675e+02,6.445e+03,3.479e+02,7.060e+03
15.5,9.224e+01,7.010e+03,9.400e+02,8.043e+03
17.0,1.269e+02,8.384e+03,1.380e+03,9.891e+03
18.6,2.550e+02,9.211e+03,8.736e+02,1.034e+04
20.1,5.097e+02,1.326e+04,6.781e+02,1.445e+04
21.7,9.250e+02,1.848e+04,9.870e+02,2.039e+04
23.2,2.112e+03,3.029e+04,2.825e+03,3.523e+04
24.8,5.282e+03,4.872e+04,7.609e+03,6.161e+04
26.3,1.472e+04,7.681e+04,1.561e+04,1.071e+05
27.9,1.554e+04,1.234e+05,2.801e+04,1.670e+05
29.4,8.018e+03,1.267e+05,3.973e+04,1.744e+05
31.0,4.350e+03,1.005e+05,3.452e+04,1.394e+05
32.5,5.288e+03,1.415e+05,3.630e+04,1.831e+05
34.1,9.756e+03,1.709e+05,4.813e+04,2.288e+05
35.6,1.452e+04,1.094e+05,5.607e+04,1.800e+05
37.2,2.105e+04,4.016e+04,4.908e+04,1.103e+05
38.7,2.286e+04,1.287e+04,4.019e+04,7.592e+04
40.3,2.495e+04,6.525e+03,4.080e+04,7.227e+04
41.8,2.958e+04,5.150e+03,4.677e+04,8.149e+04
43.4,2.938e+04,6.365e+03,6.296e+04,9.871e+04
44.9,1.149e+04,5.094e+03,9.361e+04,1.102e+05
46.5,2.128e+03,3.201e+03,1.238e+05,1.291e+05
48.0,2.130e+03,3.632e+03,1.561e+05,1.619e+05
49.6,3.038e+03,4.514e+03,1.991e+05,2.067e+05
51.1,3.236e+03,5.595e+03,2.410e+05,2.499e+05
52.7,2.131e+03,7.863e+03,2.479e+05,2.578e+05
54.2,1.193e+03,1.094e+04,2.042e+05,2.164e+05
55.8,1.994e+03,1.105e+04,1.596e+05,1.726e+05
57.3,3.608e+03,7.654e+03,1.363e+05,1.475e+05
58.9,4.337e+03,4.592e+03,1.274e+05,1.363e+05
60.4,4.829e+03,3.066e+03,1.036e+05,1.115e+05
62.0,7.706e+03,2.876e+03,8.084e+04,9.143e+04
63.5,1.338e+04,3.237e+03,6.325e+04,7.987e+04
65.1,1.241e+04,2.782e+03,5.253e+04,6.772e+04
66.6,8.589e+03,2.093e+03,4.408e+04,5.476e+04
68.2,8.792e+03,1.775e+03,3.263e+04,4.320e+04
69.7,9.414e+03,1.580e+03,2.407e+04,3.506e+04
71.3,1.025e+04,1.503e+03,1.730e+04,2.906e+04
