freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.578e+01,1.371e+02,1.033e+02,2.662e+02
1.6,3.748e+01,8.423e+01,6.955e+01,1.913e+02
3.1,2.742e+01,2.383e+01,1.945e+01,7.070e+01
4.7,2.606e+01,3.542e+02,2.008e+01,4.003e+02
6.2,2.811e+01,1.335e+03,2.039e+01,1.384e+03
7.8,5.810e+01,2.528e+03,1.874e+01,2.605e+03
9.3,3.249e+02,4.135e+03,2.063e+01,4.481e+03
10.9,4.385e+02,4.844e+03,2.177e+01,5.304e+03
12.4,2.296e+02,4.742e+03,3.395e+01,5.005e+03
14.0,1.601e+02,5.436e+03,9.037e+01,5.686e+03
15.5,8.737e+01,7.945e+03,2.726e+02,8.305e+03
17.1,1.848e+02,1.011e+04,5.286e+02,1.082e+04
18.6,2.431e+02,1.117e+04,4.602e+02,1.187e+04
20.2,1.937e+02,1.459e+04,1.230e+03,1.601e+04
21.7,1.049e+02,1.923e+04,3.013e+03,2.235e+04
23.3,1.682e+02,2.325e+04,4.777e+03,2.819e+04
24.8,6.076e+02,2.527e+04,5.877e+03,3.175e+04
26.4,2.528e+03,3.119e+04,6.910e+03,4.062e+04
27.9,5.274e+03,5.772e+04,1.316e+04,7.615e+04
29.5,7.279e+03,8.269e+04,2.251e+04,1.125e+05
31.0,5.763e+03,8.126e+04,2.173e+04,1.088e+05
32.6,2.434e+03,1.044e+05,2.363e+04,1.305e+05
34.1,3.098e+03,1.613e+05,3.666e+04,2.010e+05
35.7,8.028e+03,2.127e+05,5.834e+04,2.790e+05
37.2,1.318e+04,2.443e+05,8.328e+04,3.407e+05
38.8,1.459e+04,2.078e+05,9.701e+04,3.194e+05
40.3,1.673e+04,8.230e+04,8.320e+04,1.822e+05
41.9,2.678e+04,3.405e+04,7.911e+04,1.399e+05
43.4,3.801e+04,2.080e+04,8.158e+04,1.404e+05
45.0,2.791e+04,1.575e+04,9.740e+04,1.411e+05
46.5,2.426e+04,1.356e+04,1.093e+05,1.471e+05
48.1,1.539e+04,9.668e+03,1.195e+05,1.445e+05
49.6,9.739e+03,6.955e+03,1.295e+05,1.462e+05
51.2,6.719e+03,5.765e+03,1.556e+05,1.681e+05
52.8,7.991e+03,6.894e+03,1.886e+05,2.035e+05
54.3,1.517e+04,1.063e+04,2.030e+05,2.288e+05
55.9,2.097e+04,1.287e+04,1.782e+05,2.120e+05
57.4,1.708e+04,9.197e+03,1.146e+05,1.408e+05
59.0,1.228e+04,5.782e+03,8.150e+04,9.957e+04
60.5,9.417e+03,6.104e+03,6.808e+04,8.360e+04
62.1,7.934e+03,7.349e+03,6.756e+04,8.285e+04
63.6,6.746e+03,8.732e+03,6.936e+04,8.484e+04
65.2,7.102e+03,8.296e+03,5.201e+04,6.741e+04
66.7,7.557e+03,5.431e+03,3.442e+04,4.741e+04
