freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.048e+01,1.557e+02,1.168e+02,3.330e+02
1.5,4.130e+01,1.019e+02,7.641e+01,2.196e+02
3.1,1.304e+01,3.542e+01,1.744e+01,6.590e+01
4.6,1.251e+01,3.690e+02,1.908e+01,4.005e+02
6.2,1.643e+01,1.338e+03,2.044e+01,1.375e+03
7.7,2.000e+01,2.347e+03,2.156e+01,2.389e+03
9.3,3.744e+01,3.893e+03,2.238e+01,3.953e+03
10.8,2.210e+02,6.333e+03,2.502e+01,6.579e+03
12.4,3.268e+02,7.492e+03,8.148e+01,7.901e+03
13.9,1.062e+02,5.608e+03,2.194e+02,5.933e+03
15.5,4.359e+01,7.187e+03,3.903e+02,7.621e+03
17.0,4.309e+01,9.957e+03,8.808e+02,1.088e+04
18.6,3.848e+01,1.062e+04,9.525e+02,1.161e+04
20.1,4.710e+01,1.159e+04,4.677e+02,1.211e+04
21.7,5.769e+01,1.410e+04,4.631e+02,1.462e+04
23.2,5.822e+01,1.753e+04,5.272e+02,1.812e+04
24.8,7.572e+01,2.286e+04,3.640e+02,2.330e+04
26.3,4.271e+02,3.481e+04,1.475e+03,3.672e+04
27.9,1.251e+03,5.221e+04,5.565e+03,5.903e+04
29.4,6.974e+03,7.401e+04,1.982e+04,1.008e+05
31.0,2.770e+04,9.769e+04,3.435e+04,1.597e+05
32.5,4.731e+04,1.250e+05,2.788e+04,2.002e+05
34.1,5.892e+04,1.991e+05,3.675e+04,2.947e+05
35.6,5.451e+04,2.478e+05,5.349e+04,3.558e+05
37.2,2.385e+04,2.038e+05,6.777e+04,2.955e+05
38.7,2.430e+04,1.014e+05,6.413e+04,1.898e+05
40.3,2.831e+04,6.647e+04,6.118e+04,1.560e+05
41.8,2.170e+04,1.102e+05,7.530e+04,2.072e+05
43.4,2.616e+04,1.304e+05,8.485e+04,2.414e+05
44.9,5.212e+04,8.949e+04,7.831e+04,2.199e+05
46.5,4.821e+04,4.564e+04,6.975e+04,1.636e+05
48.0,4.533e+04,2.606e+04,7.186e+04,1.433e+05
49.6,4.947e+04,1.817e+04,7.975e+04,1.474e+05
51.1,6.084e+04,2.019e+04,9.635e+04,1.774e+05
52.6,9.520e+04,2.838e+04,1.247e+05,2.483e+05
54.2,1.314e+05,4.621e+04,1.551e+05,3.328e+05
55.7,1.645e+05,8.164e+04,1.848e+05,4.310e+05
57.3,1.742e+05,1.060e+05,1.632e+05,4.434e+05
58.8,7.012e+04,4.358e+04,1.761e+05,2.898e+05
60.4,1.321e+04,1.306e+04,1.449e+05,1.712e+05
61.9,1.096e+04,1.292e+04,1.027e+05,1.266e+05
63.5,9.608e+03,1.037e+04,1.042e+05,1.241e+05
65.0,9.423e+03,9.149e+03,1.121e+05,1.307e+05
66.6,8.366e+03,9.433e+03,1.200e+05,1.378e+05
68.1,6.894e+03,1.096e+04,1.202e+05,1.380e+05
69.7,5.620e+03,1.201e+04,1.280e+05,1.457e+05
71.2,5.372e+03,1.246e+04,1.047e+05,1.225e+05
72.8,7.740e+03,1.167e+04,6.486e+04,8.428e+04
74.3,1.377e+04,9.738e+03,3.248e+04,5.599e+04
75.9,1.546e+04,7.985e+03,2.145e+04,4.490e+04
77.4,1.238e+04,6.599e+03,2.030e+04,3.928e+04
79.0,9.623e+03,6.537e+03,2.161e+04,3.777e+04
80.5,8.342e+03,6.832e+03,2.096e+04,3.613e+04
82.1,1.095e+04,6.923e+03,1.973e+04,3.761e+04
83.6,2.218e+04,7.111e+03,1.922e+04,4.852e+04
85.2,3.698e+04,7.058e+03,1.953e+04,6.357e+04
86.7,4.161e+04,6.838e+03,2.002e+04,6.846e+04
88.3,3.503e+04,7.533e+03,3.301e+04,7.557e+04
89.8,2.916e+04,7.445e+03,7.404e+04,1.106e+05
91.4,2.102e+04,5.995e+03,1.568e+05,1.838e+05
92.9,1.959e+04,5.274e+03,1.981e+05,2.229e+05
94.5,2.601e+04,5.242e+03,1.382e+05,1.695e+05
96.0,2.719e+04,4.511e+03,7.924e+04,1.109e+05
97.6,2.552e+04,2.387e+03,7.050e+04,9.841e+04
99.1,2.552e+04,1.615e+03,6.525e+04,9.238e+04
100.7,2.396e+04,1.765e+03,5.891e+04,8.464e+04
102.2,2.304e+04,2.709e+03,7.238e+04,9.813e+04
103.7,2.487e+04,3.491e+03,8.912e+04,1.175e+05
105.3,2.698e+04,3.347e+03,8.125e+04,1.116e+05
106.8,2.532e+04,3.237e+03,6.632e+04,9.488e+04
108.4,2.428e+04,3.559e+03,6.129e+04,8.913e+04
109.9,1.933e+04,3.686e+03,5.528e+04,7.829e+04
111.5,1.412e+04,3.333e+03,4.749e+04,6.494e+04
113.0,1.245e+04,2.462e+03,3.655e+04,5.146e+04
114.6,1.030e+04,2.270e+03,2.498e+04,3.755e+04
116.1,8.843e+03,2.723e+03,1.983e+04,3.140e+04
117.7,8.435e+03,2.861e+03,1.557e+04,2.686e+04
119.2,7.847e+03,3.195e+03,1.390e+04,2.494e+04
120.8,7.388e+03,3.260e+03,1.354e+04,2.419e+04
122.3,6.633e+03,3.100e+03,1.346e+04,2.320e+04
123.9,6.195e+03,2.983e+03,1.430e+04,2.348e+04
125.4,5.247e+03,3.090e+03,1.761e+04,2.594e+04
127.0,4.494e+03,3.728e+03,2.340e+04,3.162e+04
128.5,4.151e+03,3.936e+03,2.729e+04,3.537e+04
130.1,3.968e+03,4.071e+03,2.664e+04,3.468e+04
131.6,3.695e+03,3.505e+03,1.976e+04,2.696e+04
133.2,4.009e+03,2.235e+03,1.382e+04,2.007e+04
134.7,3.439e+03,1.249e+03,1.079e+04,1.548e+04
136.3,3.007e+03,1.010e+03,8.673e+03,1.269e+04
137.8,2.595e+03,9.947e+02,6.636e+03,1.023e+04
139.4,2.919e+03,1.445e+03,8.279e+03,1.264e+04
140.9,3.736e+03,1.455e+03,8.246e+03,1.344e+04
