freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.431e+01,5.747e+01,1.831e+01,1.401e+02
1.5,4.383e+01,4.177e+01,2.418e+01,1.098e+02
3.1,1.605e+01,1.665e+01,1.659e+01,4.930e+01
4.6,2.532e+02,1.241e+02,1.661e+01,3.938e+02
6.2,1.013e+03,4.349e+02,1.910e+01,1.467e+03
7.7,1.478e+03,6.070e+02,2.691e+01,2.112e+03
9.3,1.396e+03,7.389e+02,2.604e+01,2.161e+03
10.8,2.101e+03,1.000e+03,1.983e+01,3.122e+03
12.4,3.060e+03,1.373e+03,2.236e+01,4.456e+03
13.9,4.080e+03,1.890e+03,4.951e+01,6.019e+03
15.4,4.683e+03,2.405e+03,4.739e+01,7.135e+03
17.0,5.885e+03,2.849e+03,5.752e+01,8.792e+03
18.5,7.610e+03,3.068e+03,2.724e+02,1.095e+04
20.1,1.027e+04,2.674e+03,2.780e+02,1.323e+04
21.6,1.587e+04,2.705e+03,1.814e+02,1.875e+04
23.2,2.435e+04,2.364e+03,3.992e+02,2.711e+04
24.7,2.630e+04,2.175e+03,7.822e+02,2.926e+04
26.3,3.594e+04,3.165e+03,1.548e+03,4.065e+04
27.8,3.508e+04,7.495e+03,2.213e+03,4.479e+04
29.3,1.537e+04,1.032e+04,1.594e+03,2.728e+04
30.9,4.270e+03,1.047e+04,1.069e+03,1.581e+04
32.4,1.332e+03,1.063e+04,1.044e+03,1.300e+04
34.0,1.370e+03,1.250e+04,1.955e+03,1.582e+04
35.5,1.588e+03,1.622e+04,4.243e+03,2.205e+04
37.1,2.532e+03,1.844e+04,6.951e+03,2.792e+04
38.6,4.416e+03,2.141e+04,1.245e+04,3.827e+04
40.2,6.991e+03,2.267e+04,2.101e+04,5.067e+04
41.7,8.153e+03,1.818e+04,2.902e+04,5.535e+04
43.2,6.799e+03,1.016e+04,3.326e+04,5.022e+04
44.8,5.328e+03,4.954e+03,2.988e+04,4.017e+04
46.3,5.131e+03,3.984e+03,2.218e+04,3.130e+04
47.9,6.341e+03,5.582e+03,1.520e+04,2.712e+04
49.4,8.523e+03,8.312e+03,1.091e+04,2.775e+04
51.0,1.183e+04,1.249e+04,8.562e+03,3.289e+04
52.5,1.546e+04,1.644e+04,6.867e+03,3.877e+04
54.1,1.768e+04,1.766e+04,5.667e+03,4.101e+04
55.6,1.688e+04,1.789e+04,4.658e+03,3.943e+04
57.1,1.745e+04,1.967e+04,4.289e+03,4.141e+04
58.7,2.218e+04,2.387e+04,4.888e+03,5.094e+04
60.2,3.220e+04,3.215e+04,6.322e+03,7.067e+04
61.8,4.654e+04,4.526e+04,8.131e+03,9.994e+04
63.3,6.794e+04,6.553e+04,1.040e+04,1.439e+05
64.9,9.616e+04,9.011e+04,1.334e+04,1.996e+05
66.4,1.237e+05,1.124e+05,1.617e+04,2.523e+05
68.0,1.339e+05,1.287e+05,1.601e+04,2.786e+05
69.5,1.234e+05,1.472e+05,1.149e+04,2.820e+05
71.0,1.204e+05,1.816e+05,6.531e+03,3.085e+05
72.6,1.213e+05,2.123e+05,3.003e+03,3.366e+05
74.1,1.171e+05,2.245e+05,1.101e+03,3.427e+05
75.7,1.029e+05,2.110e+05,3.160e+02,3.143e+05
77.2,7.964e+04,1.745e+05,2.192e+02,2.543e+05
78.8,5.481e+04,1.293e+05,4.218e+02,1.845e+05
80.3,3.620e+04,9.231e+04,7.288e+02,1.292e+05
81.9,2.380e+04,6.547e+04,9.551e+02,9.023e+04
83.4,1.570e+04,4.654e+04,1.024e+03,6.326e+04
84.9,1.190e+04,3.988e+04,1.250e+03,5.303e+04
86.5,9.564e+03,3.797e+04,1.801e+03,4.933e+04
88.0,7.961e+03,3.540e+04,2.298e+03,4.566e+04
89.6,6.932e+03,3.385e+04,2.906e+03,4.369e+04
91.1,6.150e+03,3.361e+04,3.887e+03,4.365e+04
92.7,5.277e+03,3.226e+04,5.081e+03,4.262e+04
94.2,6.535e+03,3.396e+04,7.381e+03,4.787e+04
95.8,5.374e+03,3.288e+04,9.518e+03,4.777e+04
97.3,3.232e+03,3.040e+04,1.239e+04,4.602e+04
98.8,2.980e+03,2.952e+04,1.541e+04,4.791e+04
100.4,2.888e+03,2.796e+04,1.720e+04,4.805e+04
101.9,3.170e+03,2.725e+04,2.094e+04,5.136e+04
103.5,3.955e+03,2.621e+04,2.662e+04,5.678e+04
105.0,5.216e+03,2.320e+04,3.251e+04,6.093e+04
106.6,7.400e+03,2.188e+04,3.948e+04,6.876e+04
108.1,1.070e+04,2.030e+04,4.632e+04,7.732e+04
109.7,1.415e+04,1.708e+04,5.174e+04,8.297e+04
111.2,1.719e+04,1.363e+04,5.497e+04,8.579e+04
112.7,1.854e+04,9.802e+03,5.198e+04,8.032e+04
