freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.420e+01,9.416e+01,7.861e+01,1.970e+02
1.5,2.268e+01,6.046e+01,5.832e+01,1.415e+02
3.1,1.356e+01,2.008e+01,1.951e+01,5.314e+01
4.6,1.445e+01,3.291e+02,1.786e+01,3.614e+02
6.2,1.940e+01,1.273e+03,1.966e+01,1.312e+03
7.7,5.377e+01,2.280e+03,2.072e+01,2.355e+03
9.3,4.289e+01,2.876e+03,1.863e+01,2.937e+03
10.8,1.435e+01,3.481e+03,1.883e+01,3.514e+03
12.3,2.151e+01,5.306e+03,5.347e+01,5.381e+03
13.9,5.110e+01,7.785e+03,1.252e+02,7.961e+03
15.4,1.021e+02,9.691e+03,9.449e+01,9.887e+03
17.0,3.803e+02,1.202e+04,2.729e+02,1.267e+04
18.5,7.476e+02,1.075e+04,1.104e+03,1.260e+04
20.1,1.107e+03,9.347e+03,1.587e+03,1.204e+04
21.6,2.071e+03,1.136e+04,2.216e+03,1.564e+04
23.2,2.661e+03,1.482e+04,2.536e+03,2.002e+04
24.7,8.289e+02,1.757e+04,8.582e+02,1.925e+04
26.2,6.441e+02,2.520e+04,1.942e+03,2.778e+04
27.8,1.448e+03,3.942e+04,6.264e+03,4.713e+04
29.3,3.497e+03,5.454e+04,1.860e+04,7.663e+04
30.9,9.425e+03,8.031e+04,4.097e+04,1.307e+05
32.4,1.540e+04,9.246e+04,6.769e+04,1.756e+05
34.0,1.499e+04,7.606e+04,7.148e+04,1.625e+05
35.5,1.241e+04,6.559e+04,5.666e+04,1.347e+05
37.0,2.121e+04,4.693e+04,4.472e+04,1.129e+05
38.6,2.631e+04,3.338e+04,3.678e+04,9.647e+04
40.1,2.136e+04,2.770e+04,3.552e+04,8.458e+04
41.7,1.963e+04,2.169e+04,3.797e+04,7.929e+04
43.2,2.459e+04,1.676e+04,4.108e+04,8.243e+04
44.8,2.628e+04,1.829e+04,5.526e+04,9.983e+04
46.3,1.715e+04,1.645e+04,6.880e+04,1.024e+05
47.9,9.425e+03,1.084e+04,7.060e+04,9.087e+04
49.4,8.187e+03,8.748e+03,7.541e+04,9.235e+04
50.9,7.892e+03,7.580e+03,9.161e+04,1.071e+05
52.5,7.546e+03,6.612e+03,1.200e+05,1.342e+05
54.0,7.957e+03,8.073e+03,1.508e+05,1.668e+05
55.6,1.178e+04,1.111e+04,1.733e+05,1.962e+05
57.1,1.544e+04,1.482e+04,1.599e+05,1.902e+05
58.7,2.280e+04,2.003e+04,1.339e+05,1.767e+05
60.2,2.525e+04,2.220e+04,1.209e+05,1.684e+05
61.7,2.435e+04,2.303e+04,1.089e+05,1.563e+05
63.3,2.709e+04,2.377e+04,8.775e+04,1.386e+05
64.8,2.736e+04,2.076e+04,5.753e+04,1.056e+05
66.4,2.492e+04,1.803e+04,4.460e+04,8.755e+04
67.9,2.307e+04,1.439e+04,3.499e+04,7.244e+04
69.5,2.088e+04,1.096e+04,2.765e+04,5.949e+04
71.0,1.820e+04,7.761e+03,2.183e+04,4.779e+04
72.6,1.602e+04,5.275e+03,1.709e+04,3.839e+04
74.1,1.687e+04,4.771e+03,1.905e+04,4.068e+04
75.6,1.823e+04,4.614e+03,2.153e+04,4.437e+04
77.2,1.795e+04,3.993e+03,1.981e+04,4.175e+04
78.7,1.750e+04,3.943e+03,2.124e+04,4.268e+04
80.3,1.832e+04,4.214e+03,2.436e+04,4.689e+04
81.8,1.801e+04,3.842e+03,2.397e+04,4.582e+04
83.4,1.791e+04,3.932e+03,2.716e+04,4.900e+04
84.9,1.686e+04,4.069e+03,3.622e+04,5.715e+04
86.4,1.523e+04,4.297e+03,5.403e+04,7.356e+04
88.0,1.452e+04,4.516e+03,6.949e+04,8.853e+04
89.5,1.285e+04,4.463e+03,7.066e+04,8.798e+04
91.1,1.049e+04,4.646e+03,6.975e+04,8.489e+04
92.6,9.372e+03,4.432e+03,6.424e+04,7.804e+04
94.2,9.266e+03,4.266e+03,5.697e+04,7.050e+04
95.7,8.311e+03,4.137e+03,4.739e+04,5.984e+04
97.3,6.530e+03,3.858e+03,3.753e+04,4.792e+04
98.8,5.192e+03,3.472e+03,3.494e+04,4.361e+04
100.3,4.359e+03,3.242e+03,3.918e+04,4.678e+04
101.9,3.927e+03,2.753e+03,3.555e+04,4.223e+04
103.4,3.311e+03,2.186e+03,2.594e+04,3.143e+04
105.0,2.615e+03,1.841e+03,1.919e+04,2.364e+04
106.5,2.391e+03,1.759e+03,1.657e+04,2.072e+04
108.1,2.079e+03,1.628e+03,1.428e+04,1.799e+04
