freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.991e+01,2.103e+01,9.411e+00,1.003e+02
1.5,4.583e+01,1.906e+01,1.778e+01,8.267e+01
3.1,1.740e+01,1.218e+01,1.601e+01,4.559e+01
4.6,2.800e+02,5.497e+01,1.570e+01,3.507e+02
6.2,1.043e+03,1.764e+02,1.640e+01,1.236e+03
7.7,1.895e+03,2.919e+02,1.750e+01,2.204e+03
9.3,2.812e+03,4.032e+02,1.777e+01,3.233e+03
10.8,2.758e+03,6.950e+02,1.636e+01,3.469e+03
12.4,3.051e+03,7.407e+02,1.703e+01,3.809e+03
13.9,4.548e+03,5.987e+02,1.697e+01,5.164e+03
15.5,6.282e+03,6.549e+02,2.621e+01,6.963e+03
17.0,6.710e+03,8.459e+02,5.653e+01,7.613e+03
18.6,6.296e+03,1.038e+03,9.330e+01,7.426e+03
20.1,7.391e+03,1.180e+03,9.304e+01,8.665e+03
21.7,9.703e+03,1.338e+03,6.750e+01,1.111e+04
23.2,1.428e+04,1.413e+03,7.598e+01,1.577e+04
24.8,2.182e+04,1.294e+03,1.153e+02,2.323e+04
26.3,3.428e+04,1.410e+03,2.927e+02,3.598e+04
27.9,4.209e+04,2.979e+03,9.092e+02,4.597e+04
29.4,2.907e+04,3.713e+03,8.482e+02,3.363e+04
31.0,1.275e+04,3.635e+03,4.431e+02,1.682e+04
32.5,8.422e+03,3.855e+03,4.851e+02,1.276e+04
34.0,9.087e+03,4.620e+03,1.001e+03,1.471e+04
35.6,7.381e+03,5.043e+03,1.507e+03,1.393e+04
37.1,2.556e+03,4.624e+03,1.214e+03,8.394e+03
38.7,2.052e+03,4.904e+03,2.001e+03,8.957e+03
40.2,2.789e+03,5.156e+03,3.825e+03,1.177e+04
41.8,3.730e+03,4.619e+03,4.644e+03,1.299e+04
43.3,4.977e+03,4.518e+03,4.428e+03,1.392e+04
44.9,5.716e+03,4.836e+03,5.988e+03,1.654e+04
46.4,4.680e+03,4.009e+03,8.021e+03,1.671e+04
48.0,3.860e+03,3.709e+03,7.312e+03,1.488e+04
49.5,4.675e+03,4.949e+03,5.279e+03,1.490e+04
51.1,6.654e+03,6.911e+03,4.075e+03,1.764e+04
52.6,9.491e+03,7.397e+03,4.456e+03,2.134e+04
54.2,1.267e+04,7.175e+03,4.975e+03,2.482e+04
55.7,1.741e+04,9.623e+03,5.092e+03,3.213e+04
57.3,2.452e+04,1.337e+04,6.080e+03,4.397e+04
58.8,3.031e+04,1.639e+04,7.408e+03,5.411e+04
60.4,3.392e+04,1.868e+04,9.014e+03,6.162e+04
61.9,4.593e+04,2.453e+04,1.214e+04,8.261e+04
63.5,7.529e+04,3.985e+04,1.770e+04,1.328e+05
65.0,8.791e+04,4.639e+04,1.883e+04,1.531e+05
66.5,8.349e+04,4.457e+04,1.548e+04,1.435e+05
68.1,8.025e+04,4.359e+04,1.245e+04,1.363e+05
69.6,8.128e+04,4.427e+04,1.099e+04,1.365e+05
71.2,7.581e+04,4.103e+04,9.233e+03,1.261e+05
72.7,6.825e+04,3.717e+04,7.682e+03,1.131e+05
74.3,5.903e+04,3.441e+04,5.743e+03,9.919e+04
75.8,4.844e+04,3.227e+04,3.708e+03,8.442e+04
77.4,3.872e+04,2.993e+04,2.139e+03,7.078e+04
78.9,3.268e+04,2.824e+04,1.194e+03,6.211e+04
80.5,2.735e+04,2.539e+04,6.193e+02,5.336e+04
82.0,2.179e+04,2.087e+04,3.110e+02,4.297e+04
83.6,1.744e+04,1.744e+04,1.487e+02,3.502e+04
85.1,1.424e+04,1.491e+04,9.029e+01,2.924e+04
86.7,1.173e+04,1.336e+04,1.003e+02,2.519e+04
88.2,9.695e+03,1.231e+04,1.241e+02,2.212e+04
89.8,7.943e+03,1.091e+04,2.293e+02,1.908e+04
91.3,6.509e+03,9.784e+03,4.215e+02,1.671e+04
92.9,5.580e+03,9.152e+03,8.573e+02,1.559e+04
94.4,5.533e+03,9.198e+03,2.101e+03,1.683e+04
96.0,4.385e+03,8.983e+03,1.593e+03,1.496e+04
97.5,3.684e+03,9.514e+03,1.316e+03,1.451e+04
99.0,3.275e+03,1.047e+04,2.253e+03,1.600e+04
100.6,2.695e+03,1.126e+04,3.767e+03,1.772e+04
102.1,2.126e+03,1.196e+04,6.227e+03,2.031e+04
103.7,1.725e+03,1.160e+04,9.200e+03,2.252e+04
105.2,1.442e+03,9.839e+03,1.074e+04,2.202e+04
106.8,1.322e+03,8.570e+03,1.259e+04,2.249e+04
108.3,1.478e+03,6.106e+03,1.446e+04,2.205e+04
109.9,1.414e+03,2.934e+03,1.241e+04,1.676e+04
111.4,1.021e+03,1.340e+03,7.623e+03,9.984e+03
113.0,6.728e+02,1.713e+03,3.290e+03,5.675e+03
114.5,7.026e+02,2.903e+03,9.866e+02,4.592e+03
116.1,1.257e+03,3.270e+03,9.678e+02,5.495e+03
117.6,2.095e+03,2.984e+03,1.874e+03,6.953e+03
119.2,2.812e+03,3.937e+03,2.622e+03,9.371e+03
120.7,4.333e+03,4.995e+03,4.812e+03,1.414e+04
122.3,6.964e+03,4.485e+03,8.994e+03,2.044e+04
123.8,9.295e+03,2.940e+03,1.254e+04,2.478e+04
125.4,1.000e+04,1.569e+03,1.245e+04,2.402e+04
126.9,1.060e+04,1.684e+03,1.217e+04,2.445e+04
128.4,1.176e+04,2.610e+03,1.387e+04,2.823e+04
130.0,1.337e+04,3.460e+03,1.754e+04,3.437e+04
131.5,1.358e+04,4.091e+03,1.953e+04,3.720e+04
133.1,8.165e+03,3.544e+03,1.259e+04,2.430e+04
134.6,3.098e+03,2.846e+03,5.479e+03,1.142e+04
136.2,2.824e+03,3.020e+03,5.145e+03,1.099e+04
137.7,2.615e+03,3.130e+03,5.015e+03,1.076e+04
139.3,2.716e+03,3.094e+03,5.096e+03,1.091e+04
140.8,2.993e+03,2.653e+03,4.826e+03,1.047e+04
142.4,2.869e+03,2.121e+03,4.345e+03,9.334e+03
143.9,2.396e+03,1.882e+03,3.944e+03,8.223e+03
145.5,1.929e+03,1.809e+03,3.609e+03,7.347e+03
147.0,1.600e+03,1.722e+03,3.492e+03,6.814e+03
148.6,1.417e+03,1.480e+03,3.495e+03,6.391e+03
150.1,1.324e+03,1.256e+03,3.381e+03,5.961e+03
151.7,1.097e+03,1.125e+03,2.952e+03,5.174e+03
153.2,8.953e+02,9.446e+02,2.299e+03,4.139e+03
154.8,7.177e+02,6.894e+02,1.544e+03,2.951e+03
156.3,5.904e+02,4.892e+02,1.059e+03,2.139e+03
157.9,5.150e+02,3.553e+02,8.422e+02,1.713e+03
159.4,4.676e+02,2.748e+02,7.759e+02,1.518e+03
160.9,4.517e+02,2.174e+02,7.412e+02,1.410e+03
162.5,4.192e+02,1.816e+02,7.553e+02,1.356e+03
164.0,3.902e+02,1.514e+02,7.585e+02,1.300e+03
165.6,3.480e+02,1.258e+02,7.249e+02,1.199e+03
167.1,3.247e+02,1.138e+02,6.723e+02,1.111e+03
168.7,3.134e+02,1.074e+02,6.162e+02,1.037e+03
170.2,3.181e+02,9.503e+01,5.291e+02,9.422e+02
171.8,3.835e+02,1.063e+02,4.222e+02,9.120e+02
173.3,4.382e+02,1.115e+02,3.021e+02,8.518e+02
174.9,4.444e+02,8.483e+01,2.464e+02,7.756e+02
176.4,4.427e+02,7.014e+01,2.094e+02,7.222e+02
178.0,4.476e+02,6.274e+01,1.982e+02,7.085e+02
179.5,5.062e+02,5.194e+01,2.327e+02,7.908e+02
181.1,5.989e+02,3.933e+01,3.079e+02,9.462e+02
182.6,6.115e+02,3.311e+01,3.932e+02,1.038e+03
184.2,6.201e+02,3.206e+01,4.903e+02,1.142e+03
185.7,6.578e+02,4.021e+01,6.247e+02,1.323e+03
187.3,7.101e+02,6.212e+01,8.138e+02,1.586e+03
188.8,7.516e+02,1.138e+02,1.038e+03,1.904e+03
190.4,7.033e+02,1.983e+02,1.239e+03,2.140e+03
191.9,6.426e+02,2.990e+02,1.401e+03,2.342e+03
193.4,6.752e+02,3.674e+02,1.675e+03,2.717e+03
195.0,7.687e+02,4.121e+02,2.074e+03,3.255e+03
196.5,7.924e+02,4.646e+02,2.278e+03,3.535e+03
198.1,8.232e+02,4.760e+02,2.477e+03,3.776e+03
199.6,7.401e+02,3.929e+02,2.188e+03,3.320e+03
