freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.505e+01,5.374e+01,1.384e+01,1.326e+02
1.5,4.358e+01,3.815e+01,2.208e+01,1.038e+02
3.1,1.516e+01,1.583e+01,1.865e+01,4.964e+01
4.6,2.103e+02,1.174e+02,1.785e+01,3.455e+02
6.2,7.905e+02,4.090e+02,1.751e+01,1.217e+03
7.7,1.497e+03,7.177e+02,1.715e+01,2.232e+03
9.3,2.283e+03,1.002e+03,1.698e+01,3.302e+03
10.8,2.122e+03,1.385e+03,1.767e+01,3.525e+03
12.4,2.398e+03,1.467e+03,1.806e+01,3.883e+03
13.9,3.782e+03,1.522e+03,1.988e+01,5.323e+03
15.5,5.267e+03,1.843e+03,2.887e+01,7.138e+03
17.0,5.480e+03,2.222e+03,7.042e+01,7.772e+03
18.6,5.187e+03,2.537e+03,1.108e+02,7.835e+03
20.1,6.479e+03,3.045e+03,1.149e+02,9.638e+03
21.7,8.997e+03,3.627e+03,9.558e+01,1.272e+04
23.2,1.505e+04,4.412e+03,1.156e+02,1.958e+04
24.8,2.853e+04,5.619e+03,3.127e+02,3.446e+04
26.3,4.177e+04,9.041e+03,1.558e+03,5.237e+04
27.9,4.319e+04,1.256e+04,3.218e+03,5.897e+04
29.4,3.626e+04,9.785e+03,2.910e+03,4.895e+04
31.0,1.613e+04,5.853e+03,1.345e+03,2.333e+04
32.5,4.420e+03,5.023e+03,5.913e+02,1.003e+04
34.1,1.286e+03,5.846e+03,6.828e+02,7.815e+03
35.6,1.002e+03,7.289e+03,1.384e+03,9.674e+03
37.2,1.485e+03,8.166e+03,2.358e+03,1.201e+04
38.7,2.183e+03,8.795e+03,3.948e+03,1.493e+04
40.3,2.839e+03,9.150e+03,6.623e+03,1.861e+04
41.8,3.400e+03,8.505e+03,6.663e+03,1.857e+04
43.4,4.272e+03,9.288e+03,6.129e+03,1.969e+04
44.9,4.993e+03,1.073e+04,9.667e+03,2.538e+04
46.5,4.353e+03,9.905e+03,1.363e+04,2.789e+04
48.0,4.069e+03,1.017e+04,1.152e+04,2.576e+04
49.6,5.053e+03,1.302e+04,7.135e+03,2.521e+04
51.1,7.106e+03,1.638e+04,5.178e+03,2.867e+04
52.7,1.059e+04,1.790e+04,5.334e+03,3.382e+04
54.2,1.450e+04,2.177e+04,5.336e+03,4.160e+04
55.7,1.673e+04,2.483e+04,7.441e+03,4.901e+04
57.3,1.890e+04,2.616e+04,9.756e+03,5.481e+04
58.8,2.414e+04,3.279e+04,1.078e+04,6.771e+04
60.4,3.261e+04,4.409e+04,1.246e+04,8.917e+04
61.9,5.660e+04,7.294e+04,1.755e+04,1.471e+05
63.5,1.161e+05,1.452e+05,2.752e+04,2.887e+05
65.0,1.606e+05,1.974e+05,3.234e+04,3.903e+05
66.6,1.350e+05,1.641e+05,2.418e+04,3.232e+05
68.1,1.116e+05,1.362e+05,1.738e+04,2.652e+05
69.7,1.060e+05,1.306e+05,1.457e+04,2.511e+05
71.2,9.496e+04,1.196e+05,1.143e+04,2.260e+05
72.8,7.757e+04,1.024e+05,7.951e+03,1.879e+05
74.3,6.097e+04,8.617e+04,5.198e+03,1.523e+05
75.9,4.532e+04,7.078e+04,3.013e+03,1.191e+05
77.4,3.278e+04,5.667e+04,1.492e+03,9.094e+04
79.0,2.440e+04,4.712e+04,6.319e+02,7.215e+04
80.5,1.913e+04,4.056e+04,2.291e+02,5.991e+04
82.1,1.552e+04,3.467e+04,6.968e+01,5.026e+04
83.6,1.325e+04,3.079e+04,4.217e+01,4.409e+04
85.2,1.133e+04,2.700e+04,8.894e+01,3.842e+04
