freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.857e+01,1.209e+02,1.325e+02,3.120e+02
1.5,4.936e+01,8.013e+01,8.622e+01,2.157e+02
3.1,2.396e+01,2.787e+01,1.720e+01,6.902e+01
4.6,2.653e+01,3.419e+02,1.668e+01,3.851e+02
6.2,2.331e+01,1.247e+03,1.714e+01,1.288e+03
7.7,2.570e+01,2.260e+03,1.689e+01,2.303e+03
9.3,1.539e+02,3.797e+03,1.724e+01,3.968e+03
10.8,3.879e+02,4.826e+03,2.002e+01,5.234e+03
12.4,1.988e+02,5.521e+03,2.018e+01,5.740e+03
13.9,7.714e+01,5.939e+03,2.797e+01,6.044e+03
15.5,3.965e+01,7.878e+03,6.563e+01,7.983e+03
17.0,4.279e+01,9.982e+03,1.165e+02,1.014e+04
18.6,4.861e+01,1.154e+04,1.732e+02,1.176e+04
20.1,5.551e+01,1.522e+04,5.225e+02,1.580e+04
21.7,6.484e+01,1.984e+04,1.160e+03,2.106e+04
23.2,8.995e+01,2.663e+04,2.827e+03,2.955e+04
24.8,2.217e+02,3.755e+04,6.979e+03,4.475e+04
26.3,1.091e+03,4.297e+04,1.068e+04,5.475e+04
27.9,3.566e+03,5.303e+04,1.403e+04,7.062e+04
29.4,4.822e+03,7.535e+04,2.270e+04,1.029e+05
31.0,1.356e+04,1.074e+05,4.281e+04,1.637e+05
32.5,1.930e+04,1.329e+05,5.283e+04,2.050e+05
34.1,1.687e+04,1.352e+05,5.480e+04,2.069e+05
35.6,1.794e+04,1.288e+05,6.988e+04,2.166e+05
37.2,1.528e+04,1.233e+05,8.927e+04,2.279e+05
38.7,1.359e+04,1.100e+05,1.081e+05,2.317e+05
40.3,1.688e+04,5.139e+04,8.804e+04,1.563e+05
41.8,2.506e+04,1.830e+04,6.945e+04,1.128e+05
43.4,2.963e+04,1.564e+04,7.400e+04,1.193e+05
44.9,5.038e+04,2.501e+04,7.386e+04,1.492e+05
46.5,6.279e+04,2.870e+04,8.093e+04,1.724e+05
48.0,7.248e+04,3.602e+04,9.014e+04,1.986e+05
49.6,7.839e+04,4.526e+04,1.038e+05,2.274e+05
51.1,9.324e+04,5.747e+04,1.323e+05,2.830e+05
52.7,1.292e+05,7.393e+04,1.800e+05,3.832e+05
54.2,1.443e+05,7.807e+04,2.174e+05,4.398e+05
55.8,1.473e+05,7.736e+04,2.462e+05,4.708e+05
57.3,1.717e+05,9.350e+04,2.790e+05,5.443e+05
58.9,1.990e+05,1.235e+05,2.850e+05,6.075e+05
60.4,8.949e+04,6.361e+04,2.084e+05,3.615e+05
62.0,2.178e+04,2.241e+04,1.416e+05,1.858e+05
63.5,1.799e+04,1.850e+04,1.260e+05,1.625e+05
65.1,1.781e+04,1.601e+04,1.126e+05,1.464e+05
66.6,2.069e+04,1.491e+04,9.868e+04,1.343e+05
68.2,2.890e+04,1.517e+04,7.679e+04,1.209e+05
69.7,3.988e+04,1.259e+04,4.169e+04,9.416e+04
71.3,4.497e+04,1.079e+04,2.969e+04,8.544e+04
72.8,4.361e+04,8.916e+03,2.962e+04,8.215e+04
74.4,4.084e+04,6.890e+03,3.862e+04,8.635e+04
75.9,4.407e+04,6.494e+03,5.082e+04,1.014e+05
77.5,4.355e+04,5.841e+03,5.941e+04,1.088e+05
79.0,3.644e+04,4.162e+03,5.074e+04,9.135e+04
80.6,3.236e+04,3.868e+03,4.992e+04,8.614e+04
82.1,2.565e+04,5.928e+03,5.763e+04,8.921e+04
83.7,2.261e+04,7.377e+03,6.539e+04,9.538e+04
85.2,2.107e+04,8.084e+03,7.209e+04,1.012e+05
86.8,2.090e+04,8.157e+03,7.303e+04,1.021e+05
88.3,2.005e+04,8.226e+03,7.110e+04,9.938e+04
89.9,2.143e+04,8.388e+03,7.516e+04,1.050e+05
91.4,2.597e+04,8.361e+03,8.351e+04,1.178e+05
93.0,2.555e+04,7.815e+03,7.992e+04,1.133e+05
94.5,2.376e+04,7.031e+03,8.235e+04,1.131e+05
96.1,2.303e+04,6.498e+03,8.676e+04,1.163e+05
97.6,2.078e+04,6.302e+03,7.948e+04,1.066e+05
99.2,2.031e+04,6.250e+03,7.597e+04,1.025e+05
100.7,1.779e+04,5.821e+03,6.511e+04,8.872e+04
102.3,1.232e+04,4.843e+03,4.395e+04,6.111e+04
103.8,1.107e+04,4.179e+03,4.200e+04,5.725e+04
105.4,1.146e+04,3.925e+03,4.827e+04,6.365e+04
106.9,1.058e+04,3.703e+03,4.735e+04,6.164e+04
108.5,9.519e+03,3.214e+03,4.167e+04,5.440e+04
110.0,9.559e+03,2.714e+03,3.503e+04,4.731e+04
111.6,9.225e+03,2.517e+03,3.194e+04,4.368e+04
113.1,8.925e+03,2.262e+03,2.836e+04,3.955e+04
114.7,8.995e+03,2.103e+03,2.551e+04,3.661e+04
116.2,9.256e+03,2.039e+03,2.521e+04,3.651e+04
117.8,9.327e+03,2.008e+03,2.426e+04,3.560e+04
119.3,8.172e+03,1.924e+03,2.109e+04,3.118e+04
120.9,6.058e+03,1.876e+03,1.923e+04,2.716e+04
122.4,5.152e+03,1.862e+03,1.735e+04,2.437e+04
124.0,4.620e+03,1.880e+03,1.464e+04,2.114e+04
125.5,4.402e+03,1.986e+03,1.284e+04,1.922e+04
127.1,4.096e+03,2.081e+03,1.270e+04,1.887e+04
128.6,3.771e+03,2.061e+03,1.335e+04,1.918e+04
130.2,2.913e+03,1.946e+03,1.219e+04,1.705e+04
131.7,2.534e+03,1.842e+03,9.726e+03,1.410e+04
133.3,1.650e+03,8.429e+02,4.295e+03,6.787e+03
134.8,1.213e+03,2.512e+02,1.646e+03,3.110e+03
136.4,1.044e+03,1.615e+02,7.691e+02,1.974e+03
137.9,1.053e+03,1.402e+02,9.627e+02,2.156e+03
139.5,9.546e+02,1.461e+02,1.600e+03,2.700e+03
141.0,9.251e+02,1.618e+02,1.987e+03,3.074e+03
142.6,8.670e+02,1.767e+02,2.361e+03,3.404e+03
144.1,8.761e+02,1.875e+02,2.413e+03,3.477e+03
145.7,1.024e+03,1.932e+02,2.431e+03,3.648e+03
147.2,1.211e+03,1.860e+02,2.460e+03,3.857e+03
148.8,1.676e+03,1.749e+02,2.386e+03,4.237e+03
150.3,1.897e+03,1.784e+02,2.353e+03,4.429e+03
151.9,2.105e+03,2.154e+02,2.514e+03,4.834e+03
153.4,2.682e+03,2.495e+02,2.592e+03,5.524e+03
155.0,3.278e+03,2.711e+02,2.402e+03,5.952e+03
156.5,3.857e+03,2.658e+02,2.205e+03,6.327e+03
158.1,4.651e+03,2.876e+02,2.141e+03,7.079e+03
159.6,5.729e+03,3.385e+02,2.261e+03,8.328e+03
161.2,6.420e+03,3.986e+02,2.409e+03,9.227e+03
162.7,6.186e+03,4.033e+02,2.179e+03,8.768e+03
164.3,6.820e+03,3.655e+02,1.829e+03,9.015e+03
165.8,6.914e+03,3.259e+02,1.652e+03,8.892e+03
167.4,6.818e+03,2.991e+02,1.636e+03,8.753e+03
168.9,6.750e+03,2.815e+02,1.560e+03,8.592e+03
170.5,6.833e+03,2.814e+02,1.388e+03,8.503e+03
172.0,7.213e+03,2.519e+02,1.404e+03,8.868e+03
173.6,8.700e+03,2.716e+02,1.591e+03,1.056e+04
175.1,8.820e+03,3.618e+02,1.544e+03,1.073e+04
176.7,9.853e+03,4.857e+02,1.729e+03,1.207e+04
178.2,1.121e+04,6.354e+02,1.919e+03,1.377e+04
179.8,6.320e+03,4.160e+02,1.708e+03,8.444e+03
181.3,1.101e+03,1.627e+02,1.230e+03,2.494e+03
