freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.013e+01,1.087e+02,6.697e+00,1.456e+02
1.5,2.955e+01,6.989e+01,2.224e+01,1.217e+02
3.0,1.612e+01,2.042e+01,2.505e+01,6.158e+01
4.5,1.396e+01,3.074e+02,2.425e+01,3.456e+02
6.0,1.424e+01,1.352e+03,2.522e+01,1.391e+03
7.5,1.865e+01,2.284e+03,7.544e+01,2.378e+03
9.0,3.012e+01,2.026e+03,2.618e+02,2.318e+03
10.5,3.490e+01,1.486e+03,2.176e+02,1.739e+03
12.0,3.526e+01,2.021e+03,5.753e+01,2.114e+03
13.5,4.174e+01,3.227e+03,2.680e+01,3.296e+03
15.0,6.136e+01,4.750e+03,2.762e+01,4.839e+03
16.5,1.127e+02,6.680e+03,2.867e+01,6.821e+03
18.0,1.102e+02,8.879e+03,2.765e+01,9.017e+03
19.5,5.150e+01,1.101e+04,2.840e+01,1.109e+04
21.0,3.464e+01,1.259e+04,2.719e+01,1.266e+04
22.5,8.445e+01,1.417e+04,2.609e+01,1.428e+04
24.0,2.524e+02,1.533e+04,2.451e+01,1.560e+04
25.6,3.404e+02,1.506e+04,2.426e+01,1.543e+04
27.1,1.638e+02,1.573e+04,2.568e+01,1.592e+04
28.6,5.324e+01,1.883e+04,3.239e+01,1.892e+04
30.1,2.316e+01,2.130e+04,4.412e+01,2.137e+04
31.6,2.088e+01,2.311e+04,4.333e+01,2.317e+04
33.1,3.521e+01,2.543e+04,3.361e+01,2.550e+04
34.6,5.321e+01,3.004e+04,3.318e+01,3.013e+04
36.1,8.345e+01,3.598e+04,3.385e+01,3.610e+04
37.6,1.457e+02,4.286e+04,3.865e+01,4.304e+04
39.1,2.495e+02,5.292e+04,4.590e+01,5.322e+04
40.6,4.117e+02,6.261e+04,5.200e+01,6.307e+04
42.1,6.414e+02,7.481e+04,5.572e+01,7.551e+04
43.6,7.257e+02,9.186e+04,7.673e+01,9.266e+04
45.1,7.994e+02,1.116e+05,1.567e+02,1.125e+05
46.6,1.089e+03,1.112e+05,2.787e+02,1.126e+05
48.1,2.261e+03,9.892e+04,2.602e+02,1.014e+05
49.6,4.717e+03,1.396e+05,2.179e+02,1.445e+05
51.1,7.705e+03,1.782e+05,2.260e+02,1.862e+05
52.6,1.066e+04,1.706e+05,2.650e+02,1.815e+05
54.1,1.443e+04,1.479e+05,7.054e+02,1.630e+05
55.6,1.785e+04,1.246e+05,1.897e+03,1.444e+05
57.1,2.175e+04,1.045e+05,3.042e+03,1.293e+05
58.6,2.675e+04,8.219e+04,4.440e+03,1.134e+05
60.1,3.206e+04,5.821e+04,8.252e+03,9.852e+04
61.6,3.604e+04,3.724e+04,1.146e+04,8.475e+04
63.1,3.700e+04,2.216e+04,9.265e+03,6.843e+04
64.6,3.513e+04,1.025e+04,5.298e+03,5.067e+04
66.1,4.077e+04,3.106e+03,1.646e+03,4.552e+04
67.6,5.460e+04,2.632e+03,5.908e+02,5.783e+04
69.1,7.528e+04,6.852e+03,8.549e+02,8.298e+04
70.6,1.051e+05,1.625e+04,1.974e+03,1.233e+05
72.1,1.462e+05,3.356e+04,3.910e+03,1.836e+05
73.6,1.783e+05,5.570e+04,5.309e+03,2.393e+05
75.1,1.741e+05,7.243e+04,4.823e+03,2.514e+05
76.7,1.385e+05,7.584e+04,3.641e+03,2.180e+05
78.2,9.666e+04,6.815e+04,2.924e+03,1.677e+05
79.7,7.133e+04,6.221e+04,2.095e+03,1.356e+05
81.2,5.792e+04,6.320e+04,1.355e+03,1.225e+05
82.7,5.269e+04,7.256e+04,1.220e+03,1.265e+05
84.2,5.073e+04,8.441e+04,1.171e+03,1.363e+05
85.7,5.280e+04,9.683e+04,1.003e+03,1.506e+05
87.2,5.618e+04,1.067e+05,8.010e+02,1.636e+05
88.7,5.682e+04,1.103e+05,7.871e+02,1.679e+05
90.2,5.873e+04,1.182e+05,7.060e+02,1.776e+05
91.7,5.597e+04,1.157e+05,6.124e+02,1.723e+05
93.2,4.400e+04,9.374e+04,6.215e+02,1.384e+05
94.7,3.588e+04,7.914e+04,5.172e+02,1.155e+05
96.2,2.863e+04,6.589e+04,4.039e+02,9.492e+04
97.7,2.154e+04,5.350e+04,4.994e+02,7.553e+04
99.2,1.650e+04,4.505e+04,7.074e+02,6.225e+04
100.7,1.216e+04,3.543e+04,8.263e+02,4.842e+04
102.2,9.206e+03,2.656e+04,8.926e+02,3.665e+04
103.7,8.366e+03,2.311e+04,9.323e+02,3.241e+04
105.2,9.257e+03,2.427e+04,8.895e+02,3.441e+04
106.7,1.072e+04,2.584e+04,7.022e+02,3.726e+04
108.2,1.155e+04,2.545e+04,7.740e+02,3.778e+04
109.7,9.689e+03,2.006e+04,1.074e+03,3.082e+04
111.2,6.831e+03,1.336e+04,1.228e+03,2.142e+04
112.7,8.128e+03,1.414e+04,1.101e+03,2.337e+04
114.2,1.337e+04,2.007e+04,1.147e+03,3.459e+04
115.7,2.023e+04,2.628e+04,9.901e+02,4.750e+04
117.2,2.922e+04,3.352e+04,1.055e+03,6.379e+04
118.7,4.065e+04,4.172e+04,1.371e+03,8.375e+04
120.2,4.747e+04,4.587e+04,1.954e+03,9.529e+04
121.7,4.073e+04,4.684e+04,2.449e+03,9.002e+04
123.2,3.053e+04,5.162e+04,2.816e+03,8.496e+04
124.7,2.192e+04,6.153e+04,3.038e+03,8.648e+04
126.2,1.411e+04,7.135e+04,3.168e+03,8.863e+04
127.8,9.644e+03,8.169e+04,2.773e+03,9.410e+04
129.3,8.859e+03,9.589e+04,1.864e+03,1.066e+05
130.8,8.619e+03,1.163e+05,1.216e+03,1.261e+05
132.3,6.876e+03,1.049e+05,8.334e+02,1.127e+05
133.8,2.600e+03,3.017e+04,3.188e+02,3.309e+04
135.3,1.395e+03,8.512e+03,1.743e+02,1.008e+04
136.8,1.307e+03,7.864e+03,1.717e+02,9.342e+03
138.3,1.154e+03,6.886e+03,1.890e+02,8.229e+03
139.8,9.925e+02,6.136e+03,2.314e+02,7.360e+03
141.3,8.074e+02,5.987e+03,3.026e+02,7.097e+03
142.8,6.468e+02,5.989e+03,4.086e+02,7.045e+03
144.3,5.447e+02,6.133e+03,5.220e+02,7.200e+03
145.8,4.694e+02,6.327e+03,5.978e+02,7.394e+03
147.3,4.084e+02,5.822e+03,5.875e+02,6.818e+03
148.8,3.834e+02,5.248e+03,6.244e+02,6.256e+03
150.3,3.467e+02,4.153e+03,6.697e+02,5.169e+03
151.8,3.265e+02,3.264e+03,7.159e+02,4.307e+03
153.3,3.130e+02,2.629e+03,7.126e+02,3.655e+03
154.8,2.890e+02,2.178e+03,7.342e+02,3.201e+03
156.3,2.771e+02,2.043e+03,8.013e+02,3.121e+03
157.8,2.962e+02,2.131e+03,9.103e+02,3.337e+03
159.3,3.354e+02,2.166e+03,1.042e+03,3.543e+03
160.8,3.891e+02,2.270e+03,1.197e+03,3.856e+03
162.3,4.432e+02,2.233e+03,1.322e+03,3.999e+03
163.8,5.075e+02,2.168e+03,1.535e+03,4.211e+03
165.3,7.535e+02,2.031e+03,1.970e+03,4.755e+03
166.8,7.974e+02,1.856e+03,1.963e+03,4.616e+03
168.3,8.054e+02,1.787e+03,1.961e+03,4.553e+03
169.8,8.009e+02,2.196e+03,2.166e+03,5.163e+03
171.3,7.048e+02,3.039e+03,2.496e+03,6.240e+03
172.8,9.153e+02,3.772e+03,3.278e+03,7.965e+03
174.3,1.293e+03,4.384e+03,4.231e+03,9.908e+03
175.8,1.493e+03,4.381e+03,4.823e+03,1.070e+04
177.4,1.718e+03,4.287e+03,5.478e+03,1.148e+04
178.9,2.181e+03,5.350e+03,6.029e+03,1.356e+04
180.4,1.876e+03,5.653e+03,5.584e+03,1.311e+04
181.9,2.306e+03,5.123e+03,7.506e+03,1.493e+04
183.4,2.456e+03,4.783e+03,7.432e+03,1.467e+04
184.9,2.319e+03,4.208e+03,6.791e+03,1.332e+04
186.4,2.450e+03,4.107e+03,6.515e+03,1.307e+04
187.9,2.419e+03,4.101e+03,5.548e+03,1.207e+04
189.4,2.222e+03,3.923e+03,4.675e+03,1.082e+04
190.9,1.974e+03,3.567e+03,4.239e+03,9.780e+03
192.4,2.143e+03,3.178e+03,4.773e+03,1.009e+04
193.9,2.228e+03,2.659e+03,5.117e+03,1.000e+04
195.4,2.207e+03,2.173e+03,5.343e+03,9.723e+03
196.9,2.229e+03,1.974e+03,5.919e+03,1.012e+04
198.4,2.097e+03,1.910e+03,6.212e+03,1.022e+04
199.9,2.106e+03,2.157e+03,6.664e+03,1.093e+04
