freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.188e+01,1.745e+01,7.366e+02,7.759e+02
1.5,3.518e+01,2.450e+01,4.281e+02,4.878e+02
3.0,2.909e+01,1.974e+01,2.673e+01,7.555e+01
4.5,2.605e+01,2.234e+01,2.985e+02,3.469e+02
6.0,2.543e+01,2.345e+01,1.231e+03,1.280e+03
7.5,3.036e+01,4.024e+01,2.278e+03,2.348e+03
9.0,3.215e+01,1.365e+02,3.159e+03,3.328e+03
10.5,3.236e+01,1.340e+02,3.070e+03,3.236e+03
12.0,3.084e+01,3.790e+01,3.546e+03,3.615e+03
13.6,3.237e+01,2.072e+01,4.977e+03,5.031e+03
15.1,3.627e+01,1.919e+01,6.772e+03,6.828e+03
16.6,4.700e+01,1.883e+01,8.874e+03,8.940e+03
18.1,1.081e+02,2.682e+01,1.073e+04,1.087e+04
19.6,9.284e+01,4.022e+01,1.167e+04,1.181e+04
21.1,3.830e+01,3.861e+01,1.362e+04,1.370e+04
22.6,2.867e+01,3.746e+01,1.610e+04,1.617e+04
24.1,3.642e+01,3.655e+01,1.907e+04,1.914e+04
25.6,4.958e+01,4.121e+01,2.243e+04,2.252e+04
27.1,4.778e+01,6.165e+01,2.598e+04,2.609e+04
28.6,4.719e+01,8.221e+01,3.017e+04,3.029e+04
30.1,4.420e+01,1.046e+02,3.488e+04,3.503e+04
31.6,4.705e+01,8.641e+01,3.852e+04,3.865e+04
33.1,4.651e+01,6.262e+01,4.330e+04,4.341e+04
34.6,5.774e+01,5.615e+01,4.986e+04,4.998e+04
36.1,7.288e+01,5.532e+01,5.806e+04,5.819e+04
37.6,9.091e+01,6.207e+01,6.792e+04,6.808e+04
39.2,1.189e+02,8.253e+01,8.014e+04,8.034e+04
40.7,1.534e+02,1.251e+02,9.479e+04,9.507e+04
42.2,1.740e+02,1.823e+02,1.110e+05,1.114e+05
43.7,1.725e+02,2.541e+02,1.297e+05,1.301e+05
45.2,1.637e+02,3.769e+02,1.529e+05,1.534e+05
46.7,2.235e+02,5.519e+02,1.834e+05,1.842e+05
48.2,3.605e+02,7.734e+02,2.225e+05,2.237e+05
49.7,4.625e+02,9.170e+02,2.736e+05,2.750e+05
51.2,5.385e+02,1.157e+03,3.290e+05,3.307e+05
52.7,7.307e+02,1.698e+03,4.172e+05,4.196e+05
54.2,8.171e+02,2.719e+03,5.282e+05,5.317e+05
55.7,6.196e+02,3.535e+03,6.038e+05,6.080e+05
57.2,5.484e+02,2.922e+03,6.363e+05,6.398e+05
58.7,5.251e+02,2.158e+03,6.853e+05,6.880e+05
60.2,4.897e+02,2.264e+03,7.866e+05,7.894e+05
61.7,5.695e+02,3.205e+03,1.041e+06,1.045e+06
63.3,1.920e+03,5.421e+03,1.461e+06,1.469e+06
64.8,1.039e+04,5.312e+03,1.716e+06,1.731e+06
66.3,2.480e+04,7.725e+03,2.233e+06,2.265e+06
67.8,4.769e+04,1.903e+04,2.992e+06,3.059e+06
69.3,9.008e+04,4.459e+04,3.561e+06,3.695e+06
70.8,1.256e+05,7.163e+04,3.479e+06,3.676e+06
72.3,1.178e+05,7.618e+04,2.936e+06,3.130e+06
73.8,8.071e+04,5.934e+04,2.408e+06,2.548e+06
75.3,4.411e+04,3.683e+04,2.023e+06,2.104e+06
76.8,2.046e+04,1.858e+04,1.719e+06,1.759e+06
78.3,9.194e+03,7.912e+03,1.400e+06,1.417e+06
79.8,6.003e+03,4.443e+03,1.190e+06,1.201e+06
81.3,6.592e+03,4.433e+03,1.074e+06,1.085e+06
82.8,6.807e+03,4.667e+03,9.470e+05,9.585e+05
84.3,5.230e+03,4.038e+03,8.316e+05,8.409e+05
85.8,4.720e+03,4.061e+03,7.098e+05,7.186e+05
87.3,3.013e+03,2.264e+03,5.969e+05,6.022e+05
88.9,1.183e+03,1.845e+03,5.224e+05,5.254e+05
90.4,2.364e+03,6.216e+03,4.532e+05,4.618e+05
91.9,5.293e+03,1.183e+04,3.906e+05,4.077e+05
93.4,7.757e+03,1.535e+04,3.435e+05,3.666e+05
94.9,1.065e+04,1.938e+04,3.224e+05,3.524e+05
96.4,1.121e+04,1.911e+04,2.850e+05,3.154e+05
97.9,9.816e+03,1.513e+04,2.256e+05,2.505e+05
99.4,9.607e+03,1.457e+04,1.819e+05,2.061e+05
100.9,9.347e+03,1.422e+04,1.566e+05,1.802e+05
102.4,8.031e+03,1.108e+04,1.425e+05,1.616e+05
103.9,8.869e+03,1.280e+04,1.434e+05,1.650e+05
105.4,9.206e+03,1.281e+04,1.499e+05,1.719e+05
106.9,9.540e+03,1.231e+04,1.634e+05,1.853e+05
108.4,9.880e+03,1.244e+04,1.581e+05,1.804e+05
109.9,9.490e+03,1.282e+04,1.435e+05,1.658e+05
111.4,7.499e+03,1.260e+04,1.319e+05,1.520e+05
112.9,6.114e+03,1.233e+04,1.134e+05,1.318e+05
114.5,6.048e+03,1.284e+04,9.952e+04,1.184e+05
116.0,6.657e+03,1.340e+04,9.382e+04,1.139e+05
117.5,7.379e+03,1.430e+04,8.739e+04,1.091e+05
119.0,7.605e+03,1.495e+04,7.802e+04,1.006e+05
120.5,7.716e+03,1.517e+04,6.946e+04,9.234e+04
122.0,8.460e+03,1.512e+04,6.324e+04,8.682e+04
123.5,8.929e+03,1.515e+04,5.761e+04,8.169e+04
125.0,9.153e+03,1.593e+04,5.334e+04,7.843e+04
126.5,9.084e+03,1.676e+04,5.267e+04,7.852e+04
128.0,8.656e+03,1.707e+04,5.163e+04,7.735e+04
129.5,7.507e+03,1.715e+04,4.668e+04,7.133e+04
131.0,7.620e+03,1.726e+04,3.834e+04,6.322e+04
132.5,7.649e+03,1.402e+04,2.344e+04,4.511e+04
134.0,4.829e+03,8.171e+03,5.236e+03,1.824e+04
135.5,4.489e+03,1.105e+04,2.574e+03,1.812e+04
137.0,4.954e+03,1.904e+04,3.248e+03,2.725e+04
138.6,5.345e+03,2.987e+04,3.883e+03,3.910e+04
140.1,4.824e+03,4.067e+04,4.589e+03,5.008e+04
141.6,3.341e+03,4.945e+04,5.897e+03,5.869e+04
143.1,2.223e+03,5.646e+04,6.914e+03,6.560e+04
144.6,1.787e+03,6.705e+04,7.089e+03,7.592e+04
146.1,1.602e+03,8.178e+04,7.177e+03,9.056e+04
147.6,1.506e+03,9.402e+04,6.647e+03,1.022e+05
149.1,1.566e+03,9.388e+04,6.225e+03,1.017e+05
150.6,1.508e+03,8.680e+04,5.179e+03,9.349e+04
152.1,1.468e+03,7.585e+04,3.979e+03,8.130e+04
153.6,1.587e+03,6.158e+04,3.316e+03,6.648e+04
155.1,1.676e+03,4.787e+04,2.921e+03,5.247e+04
156.6,1.731e+03,3.498e+04,2.722e+03,3.943e+04
158.1,1.710e+03,2.599e+04,2.590e+03,3.029e+04
159.6,1.633e+03,1.871e+04,2.947e+03,2.329e+04
161.1,1.655e+03,1.244e+04,3.404e+03,1.750e+04
162.6,1.906e+03,7.987e+03,4.159e+03,1.405e+04
164.2,2.387e+03,4.931e+03,5.085e+03,1.240e+04
165.7,3.290e+03,3.890e+03,6.457e+03,1.364e+04
167.2,3.767e+03,3.217e+03,6.780e+03,1.376e+04
168.7,3.376e+03,2.981e+03,5.609e+03,1.197e+04
170.2,3.517e+03,6.651e+03,5.836e+03,1.600e+04
171.7,3.894e+03,1.139e+04,7.268e+03,2.255e+04
173.2,3.986e+03,1.611e+04,7.511e+03,2.760e+04
174.7,3.948e+03,1.866e+04,7.574e+03,3.018e+04
176.2,4.215e+03,1.964e+04,8.776e+03,3.263e+04
177.7,4.784e+03,1.936e+04,1.015e+04,3.430e+04
179.2,5.902e+03,2.034e+04,1.172e+04,3.796e+04
180.7,6.025e+03,2.054e+04,1.163e+04,3.819e+04
