freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.579e+01,1.504e+02,1.064e+01,2.068e+02
1.5,3.426e+01,9.439e+01,2.283e+01,1.515e+02
3.0,1.329e+01,1.925e+01,2.062e+01,5.316e+01
4.5,1.429e+01,2.924e+02,2.265e+01,3.294e+02
6.0,1.395e+01,1.365e+03,2.450e+01,1.404e+03
7.5,2.285e+01,2.885e+03,1.708e+02,3.078e+03
9.0,3.520e+01,2.855e+03,6.752e+02,3.565e+03
10.5,3.261e+01,1.747e+03,4.748e+02,2.254e+03
12.0,3.471e+01,2.105e+03,9.287e+01,2.232e+03
13.6,4.384e+01,3.501e+03,3.370e+01,3.579e+03
15.1,7.205e+01,5.047e+03,2.774e+01,5.146e+03
16.6,1.451e+02,7.004e+03,2.742e+01,7.176e+03
18.1,1.523e+02,9.499e+03,3.286e+01,9.684e+03
19.6,8.347e+01,1.235e+04,2.659e+01,1.246e+04
21.1,1.450e+02,1.469e+04,2.609e+01,1.487e+04
22.6,3.323e+02,1.704e+04,2.816e+01,1.740e+04
24.1,4.745e+02,1.706e+04,2.962e+01,1.757e+04
25.6,3.339e+02,1.673e+04,3.359e+01,1.710e+04
27.1,2.523e+02,1.886e+04,3.966e+01,1.916e+04
28.6,1.176e+02,2.210e+04,4.576e+01,2.226e+04
30.1,3.640e+01,2.628e+04,5.438e+01,2.637e+04
31.6,2.478e+01,3.207e+04,7.486e+01,3.217e+04
33.1,5.635e+01,3.931e+04,1.002e+02,3.946e+04
34.6,1.183e+02,4.883e+04,1.352e+02,4.908e+04
36.1,1.807e+02,5.585e+04,1.675e+02,5.620e+04
37.6,1.900e+02,5.742e+04,1.755e+02,5.778e+04
39.1,2.494e+02,6.692e+04,2.015e+02,6.737e+04
40.7,4.145e+02,8.003e+04,2.400e+02,8.069e+04
42.2,6.649e+02,9.864e+04,2.970e+02,9.960e+04
43.7,8.355e+02,1.275e+05,4.009e+02,1.287e+05
45.2,9.497e+02,1.669e+05,5.910e+02,1.684e+05
46.7,1.363e+03,1.680e+05,6.767e+02,1.701e+05
48.2,2.679e+03,1.444e+05,5.768e+02,1.476e+05
49.7,5.142e+03,1.847e+05,7.200e+02,1.905e+05
51.2,7.684e+03,2.084e+05,8.387e+02,2.169e+05
52.7,9.673e+03,2.001e+05,1.025e+03,2.108e+05
54.2,1.324e+04,1.740e+05,1.105e+03,1.883e+05
55.7,1.687e+04,1.462e+05,1.134e+03,1.642e+05
57.2,2.079e+04,1.285e+05,9.636e+02,1.503e+05
58.7,2.541e+04,1.102e+05,9.624e+02,1.365e+05
60.2,3.129e+04,8.591e+04,1.967e+03,1.192e+05
61.7,3.918e+04,6.425e+04,5.475e+03,1.089e+05
63.2,4.816e+04,5.077e+04,6.441e+03,1.054e+05
64.7,6.861e+04,3.668e+04,3.267e+03,1.086e+05
66.3,1.079e+05,2.588e+04,2.811e+03,1.366e+05
67.8,1.538e+05,1.329e+04,3.060e+03,1.702e+05
69.3,2.047e+05,4.951e+03,2.997e+03,2.126e+05
70.8,2.775e+05,2.016e+04,2.324e+03,3.000e+05
72.3,3.348e+05,6.017e+04,1.896e+03,3.968e+05
73.8,2.878e+05,8.651e+04,3.064e+03,3.774e+05
75.3,2.215e+05,9.642e+04,5.221e+03,3.231e+05
76.8,1.717e+05,1.007e+05,8.148e+03,2.805e+05
78.3,1.274e+05,9.440e+04,9.876e+03,2.317e+05
79.8,9.991e+04,8.832e+04,9.316e+03,1.975e+05
81.3,8.289e+04,8.469e+04,7.538e+03,1.751e+05
82.8,7.361e+04,8.878e+04,6.756e+03,1.691e+05
84.3,7.829e+04,1.118e+05,6.733e+03,1.969e+05
85.8,7.839e+04,1.287e+05,5.882e+03,2.130e+05
87.3,6.933e+04,1.293e+05,4.893e+03,2.035e+05
88.8,6.202e+04,1.276e+05,4.688e+03,1.943e+05
90.3,4.576e+04,1.026e+05,5.423e+03,1.538e+05
91.9,2.818e+04,6.838e+04,5.708e+03,1.023e+05
93.4,1.785e+04,4.716e+04,4.668e+03,6.968e+04
94.9,1.317e+04,3.960e+04,3.430e+03,5.620e+04
96.4,1.010e+04,3.535e+04,2.736e+03,4.818e+04
97.9,7.596e+03,3.163e+04,2.445e+03,4.167e+04
99.4,6.396e+03,3.004e+04,2.333e+03,3.877e+04
100.9,7.085e+03,3.147e+04,2.375e+03,4.093e+04
102.4,9.046e+03,3.440e+04,1.515e+03,4.496e+04
